dispositif,volet,nombre_aides,montant_total,reg,libelle_region,classe_effectif,libelle_classe_effectif
Fonds de solidarité,VOLET1,33228,48207044.00,84,Auvergne-Rhône-Alpes,00,0 salarié
Fonds de solidarité,VOLET1,81404,119631228.00,84,Auvergne-Rhône-Alpes,01,1 ou 2 salariés
Fonds de solidarité,VOLET1,27723,41138302.00,84,Auvergne-Rhône-Alpes,02,3 à 5 salariés
Fonds de solidarité,VOLET1,7547,11232730.00,84,Auvergne-Rhône-Alpes,03,6 à 9 salariés
Fonds de solidarité,VOLET1,1550,2309628.00,84,Auvergne-Rhône-Alpes,11,10 à 19 salariés
Fonds de solidarité,VOLET1,105,152593.00,84,Auvergne-Rhône-Alpes,12,20 à 49 salariés
Fonds de solidarité,VOLET1,9,13500.00,84,Auvergne-Rhône-Alpes,21,50 à 99 salariés
Fonds de solidarité,VOLET1,5,7500.00,84,Auvergne-Rhône-Alpes,42,1 000 à 1 999 salariés
Fonds de solidarité,VOLET1,36098,49290665.00,84,Auvergne-Rhône-Alpes,NN,Etablissement non employeur
Fonds de solidarité,VOLET1,8582,12449303.00,27,Bourgogne-Franche-Comté,00,0 salarié
Fonds de solidarité,VOLET1,23521,34572838.00,27,Bourgogne-Franche-Comté,01,1 ou 2 salariés
Fonds de solidarité,VOLET1,7403,11008517.00,27,Bourgogne-Franche-Comté,02,3 à 5 salariés
Fonds de solidarité,VOLET1,1839,2735728.00,27,Bourgogne-Franche-Comté,03,6 à 9 salariés
Fonds de solidarité,VOLET1,326,482236.00,27,Bourgogne-Franche-Comté,11,10 à 19 salariés
Fonds de solidarité,VOLET1,23,34500.00,27,Bourgogne-Franche-Comté,12,20 à 49 salariés
Fonds de solidarité,VOLET1,5,7500.00,27,Bourgogne-Franche-Comté,21,50 à 99 salariés
Fonds de solidarité,VOLET1,9007,12011823.00,27,Bourgogne-Franche-Comté,NN,Etablissement non employeur
Fonds de solidarité,VOLET1,12040,17417446.00,53,Bretagne,00,0 salarié
Fonds de solidarité,VOLET1,28803,42373173.00,53,Bretagne,01,1 ou 2 salariés
Fonds de solidarité,VOLET1,9329,13884489.00,53,Bretagne,02,3 à 5 salariés
Fonds de solidarité,VOLET1,2330,3471009.00,53,Bretagne,03,6 à 9 salariés
Fonds de solidarité,VOLET1,363,541842.00,53,Bretagne,11,10 à 19 salariés
Fonds de solidarité,VOLET1,26,38453.00,53,Bretagne,12,20 à 49 salariés
Fonds de solidarité,VOLET1,10434,14067287.00,53,Bretagne,NN,Etablissement non employeur
Fonds de solidarité,VOLET1,6844,9942211.00,24,Centre-Val de Loire,00,0 salarié
Fonds de solidarité,VOLET1,20430,30051989.00,24,Centre-Val de Loire,01,1 ou 2 salariés
Fonds de solidarité,VOLET1,7063,10515881.00,24,Centre-Val de Loire,02,3 à 5 salariés
Fonds de solidarité,VOLET1,1711,2560552.00,24,Centre-Val de Loire,03,6 à 9 salariés
Fonds de solidarité,VOLET1,259,385915.00,24,Centre-Val de Loire,11,10 à 19 salariés
Fonds de solidarité,VOLET1,24,35893.00,24,Centre-Val de Loire,12,20 à 49 salariés
Fonds de solidarité,VOLET1,7377,9829891.00,24,Centre-Val de Loire,NN,Etablissement non employeur
Fonds de solidarité,VOLET1,2654,3833619.00,94,Corse,00,0 salarié
Fonds de solidarité,VOLET1,6680,9768798.00,94,Corse,01,1 ou 2 salariés
Fonds de solidarité,VOLET1,2696,3991292.00,94,Corse,02,3 à 5 salariés
