dispositif,volet,nombre_aides,montant_total,reg,libelle_region,classe_effectif,libelle_classe_effectif
Fonds de solidarité,VOLET1,34510,50011040.00,84,Auvergne-Rhône-Alpes,00,0 salarié
Fonds de solidarité,VOLET1,84567,124157342.00,84,Auvergne-Rhône-Alpes,01,1 ou 2 salariés
Fonds de solidarité,VOLET1,28964,42941839.00,84,Auvergne-Rhône-Alpes,02,3 à 5 salariés
Fonds de solidarité,VOLET1,7950,11825521.00,84,Auvergne-Rhône-Alpes,03,6 à 9 salariés
Fonds de solidarité,VOLET1,1678,2497354.00,84,Auvergne-Rhône-Alpes,11,10 à 19 salariés
Fonds de solidarité,VOLET1,122,178093.00,84,Auvergne-Rhône-Alpes,12,20 à 49 salariés
Fonds de solidarité,VOLET1,8,12000.00,84,Auvergne-Rhône-Alpes,21,50 à 99 salariés
Fonds de solidarité,VOLET1,6,9000.00,84,Auvergne-Rhône-Alpes,42,1 000 à 1 999 salariés
Fonds de solidarité,VOLET1,37843,51534518.00,84,Auvergne-Rhône-Alpes,NN,Etablissement non employeur
Fonds de solidarité,VOLET1,8888,12875700.00,27,Bourgogne-Franche-Comté,00,0 salarié
Fonds de solidarité,VOLET1,24362,35772125.00,27,Bourgogne-Franche-Comté,01,1 ou 2 salariés
Fonds de solidarité,VOLET1,7759,11529413.00,27,Bourgogne-Franche-Comté,02,3 à 5 salariés
Fonds de solidarité,VOLET1,1959,2913976.00,27,Bourgogne-Franche-Comté,03,6 à 9 salariés
Fonds de solidarité,VOLET1,354,521443.00,27,Bourgogne-Franche-Comté,11,10 à 19 salariés
Fonds de solidarité,VOLET1,28,42000.00,27,Bourgogne-Franche-Comté,12,20 à 49 salariés
Fonds de solidarité,VOLET1,5,7500.00,27,Bourgogne-Franche-Comté,21,50 à 99 salariés
Fonds de solidarité,VOLET1,9396,12497942.00,27,Bourgogne-Franche-Comté,NN,Etablissement non employeur
Fonds de solidarité,VOLET1,12431,17968319.00,53,Bretagne,00,0 salarié
Fonds de solidarité,VOLET1,29747,43721335.00,53,Bretagne,01,1 ou 2 salariés
Fonds de solidarité,VOLET1,9672,14386584.00,53,Bretagne,02,3 à 5 salariés
Fonds de solidarité,VOLET1,2434,3624312.00,53,Bretagne,03,6 à 9 salariés
Fonds de solidarité,VOLET1,420,625305.00,53,Bretagne,11,10 à 19 salariés
Fonds de solidarité,VOLET1,27,39953.00,53,Bretagne,12,20 à 49 salariés
Fonds de solidarité,VOLET1,10839,14575365.00,53,Bretagne,NN,Etablissement non employeur
Fonds de solidarité,VOLET1,7067,10248739.00,24,Centre-Val de Loire,00,0 salarié
Fonds de solidarité,VOLET1,21081,30980592.00,24,Centre-Val de Loire,01,1 ou 2 salariés
Fonds de solidarité,VOLET1,7336,10921698.00,24,Centre-Val de Loire,02,3 à 5 salariés
Fonds de solidarité,VOLET1,1803,2695786.00,24,Centre-Val de Loire,03,6 à 9 salariés
Fonds de solidarité,VOLET1,289,430915.00,24,Centre-Val de Loire,11,10 à 19 salariés
Fonds de solidarité,VOLET1,25,37393.00,24,Centre-Val de Loire,12,20 à 49 salariés
Fonds de solidarité,VOLET1,7644,10149379.00,24,Centre-Val de Loire,NN,Etablissement non employeur
Fonds de solidarité,VOLET1,2749,3967254.00,94,Corse,00,0 salarié
Fonds de solidarité,VOLET1,6914,10104672.00,94,Corse,01,1 ou 2 salariés
Fonds de solidarité,VOLET1,2802,4148023.00,94,Corse,02,3 à 5 salariés
Fonds de solidarité,VOLET1,752,1120763.00,94,Corse,03,6 à 9 salariés
Fonds de solidarité,VOLET1,129,192804.00,94,Corse,11,10 à 19 salariés
Fonds de solidarité,VOLET1,4,6000.00,94,Corse,12,20 à 49 salariés
Fonds de solidarité,VOLET1,2126,2866924.00,94,Corse,NN,Etablissement non employeur
Fonds de solidarité,VOLET1,15871,22983260.00,44,Grand Est,00,0 salarié
Fonds de solidarité,VOLET1,47745,70069008.00,44,Grand Est,01,1 ou 2 salariés
Fonds de solidarité,VOLET1,17886,26578340.00,44,Grand Est,02,3 à 5 salariés
Fonds de solidarité,VOLET1,5173,7711416.00,44,Grand Est,03,6 à 9 salariés
Fonds de solidarité,VOLET1,994,1485353.00,44,Grand Est,11,10 à 19 salariés
Fonds de solidarité,VOLET1,51,75691.00,44,Grand Est,12,20 à 49 salariés
Fonds de solidarité,VOLET1,9,13500.00,44,Grand Est,21,50 à 99 salariés
Fonds de solidarité,VOLET1,3,4500.00,44,Grand Est,22,100 à 199 salariés
Fonds de solidarité,VOLET1,15305,20472510.00,44,Grand Est,NN,Etablissement non employeur
Fonds de solidarité,VOLET1,1654,2401389.00,01,Guadeloupe,00,0 salarié
Fonds de solidarité,VOLET1,5834,8595597.00,01,Guadeloupe,01,1 ou 2 salariés
Fonds de solidarité,VOLET1,2055,3070515.00,01,Guadeloupe,02,3 à 5 salariés
Fonds de solidarité,VOLET1,672,1003305.00,01,Guadeloupe,03,6 à 9 salariés
Fonds de solidarité,VOLET1,149,221111.00,01,Guadeloupe,11,10 à 19 salariés
Fonds de solidarité,VOLET1,13,19500.00,01,Guadeloupe,12,20 à 49 salariés
Fonds de solidarité,VOLET1,5148,7121405.00,01,Guadeloupe,NN,Etablissement non employeur
Fonds de solidarité,VOLET1,660,967645.00,03,Guyane,00,0 salarié
Fonds de solidarité,VOLET1,1653,2448853.00,03,Guyane,01,1 ou 2 salariés
Fonds de solidarité,VOLET1,657,979719.00,03,Guyane,02,3 à 5 salariés
Fonds de solidarité,VOLET1,219,328258.00,03,Guyane,03,6 à 9 salariés
Fonds de solidarité,VOLET1,43,64500.00,03,Guyane,11,10 à 19 salariés
Fonds de solidarité,VOLET1,9,13500.00,03,Guyane,12,20 à 49 salariés
Fonds de solidarité,VOLET1,964,1364542.00,03,Guyane,NN,Etablissement non employeur
Fonds de solidarité,VOLET1,14175,20499109.00,32,Hauts-de-France,00,0 salarié
Fonds de solidarité,VOLET1,41993,61519882.00,32,Hauts-de-France,01,1 ou 2 salariés
Fonds de solidarité,VOLET1,14806,22019311.00,32,Hauts-de-France,02,3 à 5 salariés
Fonds de solidarité,VOLET1,4235,6310607.00,32,Hauts-de-France,03,6 à 9 salariés
Fonds de solidarité,VOLET1,801,1194239.00,32,Hauts-de-France,11,10 à 19 salariés
Fonds de solidarité,VOLET1,65,96189.00,32,Hauts-de-France,12,20 à 49 salariés
Fonds de solidarité,VOLET1,8,10787.00,32,Hauts-de-France,21,50 à 99 salariés
Fonds de solidarité,VOLET1,14070,18640694.00,32,Hauts-de-France,NN,Etablissement non employeur
Fonds de solidarité,VOLET1,44877,65368765.00,11,Île-de-France,00,0 salarié
Fonds de solidarité,VOLET1,130578,192555362.00,11,Île-de-France,01,1 ou 2 salariés
Fonds de solidarité,VOLET1,57431,85615991.00,11,Île-de-France,02,3 à 5 salariés
Fonds de solidarité,VOLET1,18188,27181899.00,11,Île-de-France,03,6 à 9 salariés
Fonds de solidarité,VOLET1,3970,5932170.00,11,Île-de-France,11,10 à 19 salariés
Fonds de solidarité,VOLET1,208,307170.00,11,Île-de-France,12,20 à 49 salariés
Fonds de solidarité,VOLET1,17,24405.00,11,Île-de-France,21,50 à 99 salariés
Fonds de solidarité,VOLET1,6,8125.00,11,Île-de-France,22,100 à 199 salariés
Fonds de solidarité,VOLET1,3,4500.00,11,Île-de-France,31,200 à 249 salariés
Fonds de solidarité,VOLET1,3,4500.00,11,Île-de-France,32,250 à 499 salariés
Fonds de solidarité,VOLET1,3,4500.00,11,Île-de-France,53,10 000 salariés et plus
Fonds de solidarité,VOLET1,44465,60902750.00,11,Île-de-France,NN,Etablissement non employeur
Fonds de solidarité,VOLET1,4041,5861230.00,04,La Réunion,00,0 salarié
Fonds de solidarité,VOLET1,10463,15383377.00,04,La Réunion,01,1 ou 2 salariés
Fonds de solidarité,VOLET1,3584,5343196.00,04,La Réunion,02,3 à 5 salariés
Fonds de solidarité,VOLET1,1238,1851591.00,04,La Réunion,03,6 à 9 salariés
Fonds de solidarité,VOLET1,250,373112.00,04,La Réunion,11,10 à 19 salariés
Fonds de solidarité,VOLET1,19,28402.00,04,La Réunion,12,20 à 49 salariés
Fonds de solidarité,VOLET1,4,6000.00,04,La Réunion,21,50 à 99 salariés
Fonds de solidarité,VOLET1,4672,6309168.00,04,La Réunion,NN,Etablissement non employeur
Fonds de solidarité,VOLET1,1366,1974658.00,02,Martinique,00,0 salarié
Fonds de solidarité,VOLET1,4499,6629165.00,02,Martinique,01,1 ou 2 salariés
Fonds de solidarité,VOLET1,1746,2603616.00,02,Martinique,02,3 à 5 salariés
Fonds de solidarité,VOLET1,614,920141.00,02,Martinique,03,6 à 9 salariés
Fonds de solidarité,VOLET1,148,221569.00,02,Martinique,11,10 à 19 salariés
Fonds de solidarité,VOLET1,17,25500.00,02,Martinique,12,20 à 49 salariés
Fonds de solidarité,VOLET1,5,7500.00,02,Martinique,21,50 à 99 salariés
Fonds de solidarité,VOLET1,2963,3933571.00,02,Martinique,NN,Etablissement non employeur
Fonds de solidarité,VOLET1,503,749964.00,06,Mayotte,00,0 salarié
Fonds de solidarité,VOLET1,255,380765.00,06,Mayotte,01,1 ou 2 salariés
Fonds de solidarité,VOLET1,84,126000.00,06,Mayotte,02,3 à 5 salariés
Fonds de solidarité,VOLET1,37,55500.00,06,Mayotte,03,6 à 9 salariés
Fonds de solidarité,VOLET1,17,25500.00,06,Mayotte,11,10 à 19 salariés
Fonds de solidarité,VOLET1,9943,14452673.00,28,Normandie,00,0 salarié
Fonds de solidarité,VOLET1,27513,40466285.00,28,Normandie,01,1 ou 2 salariés
Fonds de solidarité,VOLET1,9228,13725660.00,28,Normandie,02,3 à 5 salariés
Fonds de solidarité,VOLET1,2502,3730944.00,28,Normandie,03,6 à 9 salariés
Fonds de solidarité,VOLET1,419,625982.00,28,Normandie,11,10 à 19 salariés
Fonds de solidarité,VOLET1,39,58500.00,28,Normandie,12,20 à 49 salariés
Fonds de solidarité,VOLET1,6,9000.00,28,Normandie,21,50 à 99 salariés
Fonds de solidarité,VOLET1,9062,12015956.00,28,Normandie,NN,Etablissement non employeur
Fonds de solidarité,VOLET1,27975,40400533.00,75,Nouvelle-Aquitaine,00,0 salarié
Fonds de solidarité,VOLET1,61991,90838974.00,75,Nouvelle-Aquitaine,01,1 ou 2 salariés
Fonds de solidarité,VOLET1,20065,29847596.00,75,Nouvelle-Aquitaine,02,3 à 5 salariés
Fonds de solidarité,VOLET1,5602,8351909.00,75,Nouvelle-Aquitaine,03,6 à 9 salariés
Fonds de solidarité,VOLET1,984,1471993.00,75,Nouvelle-Aquitaine,11,10 à 19 salariés
Fonds de solidarité,VOLET1,55,79920.00,75,Nouvelle-Aquitaine,12,20 à 49 salariés
Fonds de solidarité,VOLET1,12,18000.00,75,Nouvelle-Aquitaine,21,50 à 99 salariés
Fonds de solidarité,VOLET1,5,6070.00,75,Nouvelle-Aquitaine,22,100 à 199 salariés
Fonds de solidarité,VOLET1,23821,31931977.00,75,Nouvelle-Aquitaine,NN,Etablissement non employeur
Fonds de solidarité,VOLET1,32565,47076164.00,76,Occitanie,00,0 salarié
Fonds de solidarité,VOLET1,70929,103876158.00,76,Occitanie,01,1 ou 2 salariés
Fonds de solidarité,VOLET1,22193,32962583.00,76,Occitanie,02,3 à 5 salariés
Fonds de solidarité,VOLET1,5857,8710466.00,76,Occitanie,03,6 à 9 salariés
Fonds de solidarité,VOLET1,1049,1563769.00,76,Occitanie,11,10 à 19 salariés
Fonds de solidarité,VOLET1,52,76228.00,76,Occitanie,12,20 à 49 salariés
Fonds de solidarité,VOLET1,14,21000.00,76,Occitanie,21,50 à 99 salariés
Fonds de solidarité,VOLET1,3,2100.00,76,Occitanie,32,250 à 499 salariés
Fonds de solidarité,VOLET1,28824,38419358.00,76,Occitanie,NN,Etablissement non employeur
Fonds de solidarité,VOLET1,12214,17702880.00,52,Pays de la Loire,00,0 salarié
Fonds de solidarité,VOLET1,30454,44775056.00,52,Pays de la Loire,01,1 ou 2 salariés
Fonds de solidarité,VOLET1,10831,16100505.00,52,Pays de la Loire,02,3 à 5 salariés
Fonds de solidarité,VOLET1,2728,4069705.00,52,Pays de la Loire,03,6 à 9 salariés
Fonds de solidarité,VOLET1,426,632990.00,52,Pays de la Loire,11,10 à 19 salariés
Fonds de solidarité,VOLET1,28,41964.00,52,Pays de la Loire,12,20 à 49 salariés
Fonds de solidarité,VOLET1,8,12000.00,52,Pays de la Loire,21,50 à 99 salariés
Fonds de solidarité,VOLET1,10051,13477213.00,52,Pays de la Loire,NN,Etablissement non employeur
Fonds de solidarité,VOLET1,31780,45935930.00,93,Provence-Alpes-Côte d'Azur,00,0 salarié
Fonds de solidarité,VOLET1,75131,110170984.00,93,Provence-Alpes-Côte d'Azur,01,1 ou 2 salariés
Fonds de solidarité,VOLET1,22663,33711758.00,93,Provence-Alpes-Côte d'Azur,02,3 à 5 salariés
Fonds de solidarité,VOLET1,5837,8713783.00,93,Provence-Alpes-Côte d'Azur,03,6 à 9 salariés
Fonds de solidarité,VOLET1,1235,1841872.00,93,Provence-Alpes-Côte d'Azur,11,10 à 19 salariés
Fonds de solidarité,VOLET1,65,97130.00,93,Provence-Alpes-Côte d'Azur,12,20 à 49 salariés
Fonds de solidarité,VOLET1,11,16500.00,93,Provence-Alpes-Côte d'Azur,21,50 à 99 salariés
Fonds de solidarité,VOLET1,26742,36260892.00,93,Provence-Alpes-Côte d'Azur,NN,Etablissement non employeur
