dispositif,volet,nombre_aides,montant_total,reg,libelle_region,classe_effectif,libelle_classe_effectif
Fonds de solidarité,VOLET1,25024,36438399.00,84,Auvergne-Rhône-Alpes,00,0 salarié
Fonds de solidarité,VOLET1,63368,93568785.00,84,Auvergne-Rhône-Alpes,01,1 ou 2 salariés
Fonds de solidarité,VOLET1,21697,32318439.00,84,Auvergne-Rhône-Alpes,02,3 à 5 salariés
Fonds de solidarité,VOLET1,5739,8571413.00,84,Auvergne-Rhône-Alpes,03,6 à 9 salariés
Fonds de solidarité,VOLET1,1173,1754372.00,84,Auvergne-Rhône-Alpes,11,10 à 19 salariés
Fonds de solidarité,VOLET1,71,106221.00,84,Auvergne-Rhône-Alpes,12,20 à 49 salariés
Fonds de solidarité,VOLET1,5,7500.00,84,Auvergne-Rhône-Alpes,21,50 à 99 salariés
Fonds de solidarité,VOLET1,3,4500.00,84,Auvergne-Rhône-Alpes,42,1 000 à 1 999 salariés
Fonds de solidarité,VOLET1,27193,37425272.00,84,Auvergne-Rhône-Alpes,NN,Etablissement non employeur
Fonds de solidarité,VOLET1,6528,9532641.00,27,Bourgogne-Franche-Comté,00,0 salarié
Fonds de solidarité,VOLET1,18596,27426610.00,27,Bourgogne-Franche-Comté,01,1 ou 2 salariés
Fonds de solidarité,VOLET1,5851,8720971.00,27,Bourgogne-Franche-Comté,02,3 à 5 salariés
Fonds de solidarité,VOLET1,1414,2110191.00,27,Bourgogne-Franche-Comté,03,6 à 9 salariés
Fonds de solidarité,VOLET1,254,376315.00,27,Bourgogne-Franche-Comté,11,10 à 19 salariés
Fonds de solidarité,VOLET1,18,27000.00,27,Bourgogne-Franche-Comté,12,20 à 49 salariés
Fonds de solidarité,VOLET1,3,4500.00,27,Bourgogne-Franche-Comté,21,50 à 99 salariés
Fonds de solidarité,VOLET1,6788,9141965.00,27,Bourgogne-Franche-Comté,NN,Etablissement non employeur
Fonds de solidarité,VOLET1,9049,13159961.00,53,Bretagne,00,0 salarié
Fonds de solidarité,VOLET1,22580,33345544.00,53,Bretagne,01,1 ou 2 salariés
Fonds de solidarité,VOLET1,7266,10843160.00,53,Bretagne,02,3 à 5 salariés
Fonds de solidarité,VOLET1,1773,2651141.00,53,Bretagne,03,6 à 9 salariés
Fonds de solidarité,VOLET1,276,412281.00,53,Bretagne,11,10 à 19 salariés
Fonds de solidarité,VOLET1,18,27000.00,53,Bretagne,12,20 à 49 salariés
Fonds de solidarité,VOLET1,7825,10651850.00,53,Bretagne,NN,Etablissement non employeur
Fonds de solidarité,VOLET1,5144,7491121.00,24,Centre-Val de Loire,00,0 salarié
Fonds de solidarité,VOLET1,15955,23565078.00,24,Centre-Val de Loire,01,1 ou 2 salariés
