dispositif,mois,nombre_demandes_deposees,nombre_salaries_concernes,nombre_heures_demandees,reg,libelle_region,code_section_nace17,libelle_section_nace17,date_maj
Activite Partielle,2020-03,625.00,1845.00,83080.00,84,Auvergne-Rhône-Alpes,AZ,"Agriculture, sylviculture et pêche",2020-12-08
Activite Partielle,2020-03,2490.00,12035.00,483405.00,84,Auvergne-Rhône-Alpes,C1,Fabr. de denrées alimentaires - boissons et prod. à base de tabac de boissons et de produits à base de tabac,2020-12-08
Activite Partielle,2020-03,1030.00,23305.00,936185.00,84,Auvergne-Rhône-Alpes,C3,Fabr. d'équipements ; fabrication de machines,2020-12-08
Activite Partielle,2020-03,250.00,15010.00,625180.00,84,Auvergne-Rhône-Alpes,C4,Fabrication de matériels de transport,2020-12-08
Activite Partielle,2020-03,7225.00,88530.00,3859995.00,84,Auvergne-Rhône-Alpes,C5,Fabrication d'autres produits indus.,2020-12-08
Activite Partielle,2020-03,795.00,6015.00,259485.00,84,Auvergne-Rhône-Alpes,DE,Industries extractives,2020-12-08
Activite Partielle,2020-03,18835.00,108725.00,5351220.00,84,Auvergne-Rhône-Alpes,FZ,Construction,2020-12-08
Activite Partielle,2020-03,30360.00,153095.00,7713330.00,84,Auvergne-Rhône-Alpes,GZ,Commerce,2020-12-08
Activite Partielle,2020-03,3925.00,50095.00,2156390.00,84,Auvergne-Rhône-Alpes,HZ,Transports et entreposage,2020-12-08
Activite Partielle,2020-03,18385.00,105675.00,5713430.00,84,Auvergne-Rhône-Alpes,IZ,Hébergement et restauration,2020-12-08
Activite Partielle,2020-03,1830.00,10985.00,455825.00,84,Auvergne-Rhône-Alpes,JZ,Information et communication,2020-12-08
Activite Partielle,2020-03,2920.00,9335.00,421780.00,84,Auvergne-Rhône-Alpes,KZ,Act. financières et d'assurance,2020-12-08
Activite Partielle,2020-03,2520.00,9025.00,440260.00,84,Auvergne-Rhône-Alpes,LZ,Activités immobilières,2020-12-08
Activite Partielle,2020-03,16810.00,132630.00,5165740.00,84,Auvergne-Rhône-Alpes,MN,Act. scientif. et tech. ; services admin. et de soutien,2020-12-08
Activite Partielle,2020-03,9345.00,56920.00,2128845.00,84,Auvergne-Rhône-Alpes,OQ,"Admin. publique - enseignement, santé humaine et action sociale",2020-12-08
Activite Partielle,2020-03,13125.00,53955.00,2437175.00,84,Auvergne-Rhône-Alpes,RU,Autres activités de services,2020-12-08
Activite Partielle,2020-04,780.00,2255.00,177770.00,84,Auvergne-Rhône-Alpes,AZ,"Agriculture, sylviculture et pêche",2020-12-08
Activite Partielle,2020-04,3320.00,17975.00,1573285.00,84,Auvergne-Rhône-Alpes,C1,Fabr. de denrées alimentaires - boissons et prod. à base de tabac de boissons et de produits à base de tabac,2020-12-08
Activite Partielle,2020-04,1230.00,33090.00,2433115.00,84,Auvergne-Rhône-Alpes,C3,Fabr. d'équipements ; fabrication de machines,2020-12-08
Activite Partielle,2020-04,285.00,18865.00,1659075.00,84,Auvergne-Rhône-Alpes,C4,Fabrication de matériels de transport,2020-12-08
Activite Partielle,2020-04,8295.00,115545.00,9967610.00,84,Auvergne-Rhône-Alpes,C5,Fabrication d'autres produits indus.,2020-12-08
Activite Partielle,2020-04,985.00,9645.00,761015.00,84,Auvergne-Rhône-Alpes,DE,Industries extractives,2020-12-08
Activite Partielle,2020-04,19910.00,126365.00,12245540.00,84,Auvergne-Rhône-Alpes,FZ,Construction,2020-12-08
Activite Partielle,2020-04,34105.00,189075.00,20093835.00,84,Auvergne-Rhône-Alpes,GZ,Commerce,2020-12-08
Activite Partielle,2020-04,4465.00,68715.00,5641680.00,84,Auvergne-Rhône-Alpes,HZ,Transports et entreposage,2020-12-08
Activite Partielle,2020-04,19275.00,112430.00,13006170.00,84,Auvergne-Rhône-Alpes,IZ,Hébergement et restauration,2020-12-08
Activite Partielle,2020-04,2485.00,19655.00,1662470.00,84,Auvergne-Rhône-Alpes,JZ,Information et communication,2020-12-08
Activite Partielle,2020-04,3865.00,13745.00,1302730.00,84,Auvergne-Rhône-Alpes,KZ,Act. financières et d'assurance,2020-12-08
Activite Partielle,2020-04,2965.00,12180.00,1224290.00,84,Auvergne-Rhône-Alpes,LZ,Activités immobilières,2020-12-08
Activite Partielle,2020-04,20320.00,158670.00,12869655.00,84,Auvergne-Rhône-Alpes,MN,Act. scientif. et tech. ; services admin. et de soutien,2020-12-08
Activite Partielle,2020-04,10765.00,69030.00,5232030.00,84,Auvergne-Rhône-Alpes,OQ,"Admin. publique - enseignement, santé humaine et action sociale",2020-12-08
Activite Partielle,2020-04,15265.00,64885.00,6124005.00,84,Auvergne-Rhône-Alpes,RU,Autres activités de services,2020-12-08
Activite Partielle,2020-05,670.00,1465.00,81715.00,84,Auvergne-Rhône-Alpes,AZ,"Agriculture, sylviculture et pêche",2020-12-08
Activite Partielle,2020-05,3265.00,17135.00,1030595.00,84,Auvergne-Rhône-Alpes,C1,Fabr. de denrées alimentaires - boissons et prod. à base de tabac de boissons et de produits à base de tabac,2020-12-08
Activite Partielle,2020-05,1225.00,26375.00,1237535.00,84,Auvergne-Rhône-Alpes,C3,Fabr. d'équipements ; fabrication de machines,2020-12-08
Activite Partielle,2020-05,265.00,15840.00,914980.00,84,Auvergne-Rhône-Alpes,C4,Fabrication de matériels de transport,2020-12-08
