dispositif,volet,nombre_aides,nombre_entreprises,montant_total,reg,libelle_region,classe_effectif,libelle_classe_effectif
Fonds de solidarité,VOLET1,76249,18771,213592705.00,84,Auvergne-Rhône-Alpes,00,0 salarié
Fonds de solidarité,VOLET1,185883,46905,652201656.00,84,Auvergne-Rhône-Alpes,01,1 ou 2 salariés
Fonds de solidarité,VOLET1,72828,18402,361504414.00,84,Auvergne-Rhône-Alpes,02,3 à 5 salariés
Fonds de solidarité,VOLET1,26002,6442,187778023.00,84,Auvergne-Rhône-Alpes,03,6 à 9 salariés
Fonds de solidarité,VOLET1,12029,3105,164281995.00,84,Auvergne-Rhône-Alpes,11,10 à 19 salariés
Fonds de solidarité,VOLET1,3506,1111,112380477.00,84,Auvergne-Rhône-Alpes,12,20 à 49 salariés
Fonds de solidarité,VOLET1,402,153,30456699.00,84,Auvergne-Rhône-Alpes,21,50 à 99 salariés
Fonds de solidarité,VOLET1,89,41,10938216.00,84,Auvergne-Rhône-Alpes,22,100 à 199 salariés
Fonds de solidarité,VOLET1,19,10,2248259.00,84,Auvergne-Rhône-Alpes,31,200 à 249 salariés
Fonds de solidarité,VOLET1,22,7,2311962.00,84,Auvergne-Rhône-Alpes,32,250 à 499 salariés
Fonds de solidarité,VOLET1,6,3,1200000.00,84,Auvergne-Rhône-Alpes,41,500 à 999 salariés
Fonds de solidarité,VOLET1,7,3,10500.00,84,Auvergne-Rhône-Alpes,42,1 000 à 1 999 salariés
Fonds de solidarité,VOLET1,82149,20604,160596046.00,84,Auvergne-Rhône-Alpes,NN,Etablissement non employeur
Fonds de solidarité,VOLET1,18943,4777,52302598.00,27,Bourgogne-Franche-Comté,00,0 salarié
Fonds de solidarité,VOLET1,51679,13437,178351999.00,27,Bourgogne-Franche-Comté,01,1 ou 2 salariés
Fonds de solidarité,VOLET1,18426,4884,85964475.00,27,Bourgogne-Franche-Comté,02,3 à 5 salariés
Fonds de solidarité,VOLET1,5870,1573,36968110.00,27,Bourgogne-Franche-Comté,03,6 à 9 salariés
Fonds de solidarité,VOLET1,2507,686,29957636.00,27,Bourgogne-Franche-Comté,11,10 à 19 salariés
Fonds de solidarité,VOLET1,852,263,22582580.00,27,Bourgogne-Franche-Comté,12,20 à 49 salariés
Fonds de solidarité,VOLET1,63,26,3595179.00,27,Bourgogne-Franche-Comté,21,50 à 99 salariés
Fonds de solidarité,VOLET1,4,4,196081.00,27,Bourgogne-Franche-Comté,22,100 à 199 salariés
Fonds de solidarité,VOLET1,18352,5007,33626746.00,27,Bourgogne-Franche-Comté,NN,Etablissement non employeur
Fonds de solidarité,VOLET1,26996,6436,85361528.00,53,Bretagne,00,0 salarié
Fonds de solidarité,VOLET1,64408,16327,239812484.00,53,Bretagne,01,1 ou 2 salariés
Fonds de solidarité,VOLET1,24107,6373,119230330.00,53,Bretagne,02,3 à 5 salariés
Fonds de solidarité,VOLET1,7877,2166,52181050.00,53,Bretagne,03,6 à 9 salariés
Fonds de solidarité,VOLET1,3326,941,39902687.00,53,Bretagne,11,10 à 19 salariés
Fonds de solidarité,VOLET1,936,301,31623207.00,53,Bretagne,12,20 à 49 salariés
Fonds de solidarité,VOLET1,57,26,3950020.00,53,Bretagne,21,50 à 99 salariés
Fonds de solidarité,VOLET1,14,6,1595345.00,53,Bretagne,22,100 à 199 salariés
Fonds de solidarité,VOLET1,5,3,584272.00,53,Bretagne,31,200 à 249 salariés
Fonds de solidarité,VOLET1,20103,5562,37257330.00,53,Bretagne,NN,Etablissement non employeur
