dispositif,mois,nombre_demandes_deposees,nombre_salaries_concernes,nombre_heures_demandees,reg,libelle_region,code_section_nace17,libelle_section_nace17,date_maj
Activite Partielle,2020-03,630.00,1845.00,83055.00,84,Auvergne-Rhône-Alpes,AZ,"Agriculture, sylviculture et pêche",2021-01-19
Activite Partielle,2020-03,2490.00,12035.00,483300.00,84,Auvergne-Rhône-Alpes,C1,Fabr. de denrées alimentaires - boissons et prod. à base de tabac de boissons et de produits à base de tabac,2021-01-19
Activite Partielle,2020-03,1030.00,23290.00,935800.00,84,Auvergne-Rhône-Alpes,C3,Fabr. d'équipements ; fabrication de machines,2021-01-19
Activite Partielle,2020-03,250.00,15045.00,627225.00,84,Auvergne-Rhône-Alpes,C4,Fabrication de matériels de transport,2021-01-19
Activite Partielle,2020-03,7235.00,88680.00,3866355.00,84,Auvergne-Rhône-Alpes,C5,Fabrication d'autres produits indus.,2021-01-19
Activite Partielle,2020-03,795.00,6050.00,261575.00,84,Auvergne-Rhône-Alpes,DE,Industries extractives,2021-01-19
Activite Partielle,2020-03,18875.00,109060.00,5364150.00,84,Auvergne-Rhône-Alpes,FZ,Construction,2021-01-19
Activite Partielle,2020-03,30410.00,153410.00,7728340.00,84,Auvergne-Rhône-Alpes,GZ,Commerce,2021-01-19
Activite Partielle,2020-03,3935.00,50415.00,2175550.00,84,Auvergne-Rhône-Alpes,HZ,Transports et entreposage,2021-01-19
Activite Partielle,2020-03,18400.00,105795.00,5720275.00,84,Auvergne-Rhône-Alpes,IZ,Hébergement et restauration,2021-01-19
Activite Partielle,2020-03,1835.00,10985.00,456115.00,84,Auvergne-Rhône-Alpes,JZ,Information et communication,2021-01-19
Activite Partielle,2020-03,2930.00,9350.00,422240.00,84,Auvergne-Rhône-Alpes,KZ,Act. financières et d'assurance,2021-01-19
Activite Partielle,2020-03,2530.00,9050.00,440795.00,84,Auvergne-Rhône-Alpes,LZ,Activités immobilières,2021-01-19
Activite Partielle,2020-03,16860.00,132775.00,5169650.00,84,Auvergne-Rhône-Alpes,MN,Act. scientif. et tech. ; services admin. et de soutien,2021-01-19
