dispositif,nombre_demandes_deposees,nombre_salaries_concernes,nombre_heures_demandees,nombre_etablissements_concernes,reg,libelle_region,dep,libelle_departement,code_section_nace17,libelle_section_nace17,date_maj
Activite Partielle,110.00,415.00,112840.00,90.00,84,Auvergne-Rhône-Alpes,01,Ain,AZ,"Agriculture, sylviculture et pêche",2020-07-21
Activite Partielle,270.00,2260.00,912235.00,245.00,84,Auvergne-Rhône-Alpes,01,Ain,C1,Fabr. de denrées alimentaires - boissons et prod. à base de tabac de boissons et de produits à base de tabac,2020-07-21
Activite Partielle,165.00,8810.00,3382435.00,135.00,84,Auvergne-Rhône-Alpes,01,Ain,C3,Fabr. d'équipements ; fabrication de machines,2020-07-21
Activite Partielle,45.00,3350.00,1409380.00,40.00,84,Auvergne-Rhône-Alpes,01,Ain,C4,Fabrication de matériels de transport,2020-07-21
Activite Partielle,1225.00,24740.00,10314055.00,1000.00,84,Auvergne-Rhône-Alpes,01,Ain,C5,Fabrication d'autres produits indus.,2020-07-21
Activite Partielle,115.00,1250.00,434990.00,105.00,84,Auvergne-Rhône-Alpes,01,Ain,DE,Industries extractives,2020-07-21
Activite Partielle,1835.00,12315.00,5714615.00,1680.00,84,Auvergne-Rhône-Alpes,01,Ain,FZ,Construction,2020-07-21
Activite Partielle,2730.00,18175.00,7805745.00,2445.00,84,Auvergne-Rhône-Alpes,01,Ain,GZ,Commerce,2020-07-21
Activite Partielle,415.00,7245.00,3346955.00,370.00,84,Auvergne-Rhône-Alpes,01,Ain,HZ,Transports et entreposage,2020-07-21
Activite Partielle,1455.00,7440.00,3510425.00,1190.00,84,Auvergne-Rhône-Alpes,01,Ain,IZ,Hébergement et restauration,2020-07-21
Activite Partielle,125.00,820.00,289175.00,105.00,84,Auvergne-Rhône-Alpes,01,Ain,JZ,Information et communication,2020-07-21
Activite Partielle,350.00,1265.00,513875.00,320.00,84,Auvergne-Rhône-Alpes,01,Ain,KZ,Act. financières et d'assurance,2020-07-21
Activite Partielle,190.00,1480.00,380155.00,170.00,84,Auvergne-Rhône-Alpes,01,Ain,LZ,Activités immobilières,2020-07-21
Activite Partielle,1550.00,16490.00,5557370.00,1360.00,84,Auvergne-Rhône-Alpes,01,Ain,MN,Act. scientif. et tech. ; services admin. et de soutien,2020-07-21
Activite Partielle,950.00,9010.00,2453505.00,795.00,84,Auvergne-Rhône-Alpes,01,Ain,OQ,"Admin. publique - enseignement, santé humaine et action sociale",2020-07-21
Activite Partielle,1440.00,6540.00,2319400.00,1190.00,84,Auvergne-Rhône-Alpes,01,Ain,RU,Autres activités de services,2020-07-21
Activite Partielle,60.00,200.00,80450.00,55.00,84,Auvergne-Rhône-Alpes,03,Allier,AZ,"Agriculture, sylviculture et pêche",2020-07-21
Activite Partielle,170.00,1690.00,618695.00,155.00,84,Auvergne-Rhône-Alpes,03,Allier,C1,Fabr. de denrées alimentaires - boissons et prod. à base de tabac de boissons et de produits à base de tabac,2020-07-21
Activite Partielle,55.00,2540.00,963670.00,45.00,84,Auvergne-Rhône-Alpes,03,Allier,C3,Fabr. d'équipements ; fabrication de machines,2020-07-21
Activite Partielle,10.00,895.00,259745.00,5.00,84,Auvergne-Rhône-Alpes,03,Allier,C4,Fabrication de matériels de transport,2020-07-21
Activite Partielle,370.00,10030.00,4651345.00,320.00,84,Auvergne-Rhône-Alpes,03,Allier,C5,Fabrication d'autres produits indus.,2020-07-21
Activite Partielle,50.00,580.00,268780.00,50.00,84,Auvergne-Rhône-Alpes,03,Allier,DE,Industries extractives,2020-07-21
Activite Partielle,815.00,5690.00,2899750.00,790.00,84,Auvergne-Rhône-Alpes,03,Allier,FZ,Construction,2020-07-21
Activite Partielle,1430.00,8480.00,4095415.00,1365.00,84,Auvergne-Rhône-Alpes,03,Allier,GZ,Commerce,2020-07-21
Activite Partielle,145.00,2435.00,1106695.00,130.00,84,Auvergne-Rhône-Alpes,03,Allier,HZ,Transports et entreposage,2020-07-21
Activite Partielle,735.00,4065.00,2203020.00,630.00,84,Auvergne-Rhône-Alpes,03,Allier,IZ,Hébergement et restauration,2020-07-21
Activite Partielle,45.00,510.00,312480.00,40.00,84,Auvergne-Rhône-Alpes,03,Allier,JZ,Information et communication,2020-07-21
Activite Partielle,175.00,590.00,260810.00,170.00,84,Auvergne-Rhône-Alpes,03,Allier,KZ,Act. financières et d'assurance,2020-07-21
Activite Partielle,115.00,380.00,142895.00,110.00,84,Auvergne-Rhône-Alpes,03,Allier,LZ,Activités immobilières,2020-07-21
Activite Partielle,675.00,7170.00,2545670.00,630.00,84,Auvergne-Rhône-Alpes,03,Allier,MN,Act. scientif. et tech. ; services admin. et de soutien,2020-07-21
Activite Partielle,565.00,4260.00,1466650.00,515.00,84,Auvergne-Rhône-Alpes,03,Allier,OQ,"Admin. publique - enseignement, santé humaine et action sociale",2020-07-21
Activite Partielle,650.00,3395.00,1469470.00,600.00,84,Auvergne-Rhône-Alpes,03,Allier,RU,Autres activités de services,2020-07-21
Activite Partielle,85.00,330.00,106590.00,80.00,84,Auvergne-Rhône-Alpes,07,Ardèche,AZ,"Agriculture, sylviculture et pêche",2020-07-21
Activite Partielle,240.00,1305.00,461510.00,220.00,84,Auvergne-Rhône-Alpes,07,Ardèche,C1,Fabr. de denrées alimentaires - boissons et prod. à base de tabac de boissons et de produits à base de tabac,2020-07-21
Activite Partielle,50.00,1530.00,588485.00,45.00,84,Auvergne-Rhône-Alpes,07,Ardèche,C3,Fabr. d'équipements ; fabrication de machines,2020-07-21
Activite Partielle,25.00,3765.00,1993420.00,25.00,84,Auvergne-Rhône-Alpes,07,Ardèche,C4,Fabrication de matériels de transport,2020-07-21
Activite Partielle,310.00,6310.00,2785005.00,270.00,84,Auvergne-Rhône-Alpes,07,Ardèche,C5,Fabrication d'autres produits indus.,2020-07-21
Activite Partielle,40.00,330.00,126020.00,40.00,84,Auvergne-Rhône-Alpes,07,Ardèche,DE,Industries extractives,2020-07-21
Activite Partielle,950.00,5440.00,2360000.00,880.00,84,Auvergne-Rhône-Alpes,07,Ardèche,FZ,Construction,2020-07-21
Activite Partielle,1300.00,6120.00,2519470.00,1195.00,84,Auvergne-Rhône-Alpes,07,Ardèche,GZ,Commerce,2020-07-21
Activite Partielle,190.00,2190.00,946280.00,165.00,84,Auvergne-Rhône-Alpes,07,Ardèche,HZ,Transports et entreposage,2020-07-21
Activite Partielle,855.00,3605.00,1589510.00,755.00,84,Auvergne-Rhône-Alpes,07,Ardèche,IZ,Hébergement et restauration,2020-07-21
Activite Partielle,65.00,675.00,176505.00,50.00,84,Auvergne-Rhône-Alpes,07,Ardèche,JZ,Information et communication,2020-07-21
Activite Partielle,140.00,465.00,180670.00,130.00,84,Auvergne-Rhône-Alpes,07,Ardèche,KZ,Act. financières et d'assurance,2020-07-21
Activite Partielle,70.00,370.00,119660.00,65.00,84,Auvergne-Rhône-Alpes,07,Ardèche,LZ,Activités immobilières,2020-07-21
Activite Partielle,575.00,4980.00,1512015.00,515.00,84,Auvergne-Rhône-Alpes,07,Ardèche,MN,Act. scientif. et tech. ; services admin. et de soutien,2020-07-21
Activite Partielle,565.00,4920.00,1090180.00,490.00,84,Auvergne-Rhône-Alpes,07,Ardèche,OQ,"Admin. publique - enseignement, santé humaine et action sociale",2020-07-21
Activite Partielle,825.00,3150.00,953920.00,675.00,84,Auvergne-Rhône-Alpes,07,Ardèche,RU,Autres activités de services,2020-07-21
Activite Partielle,45.00,165.00,78815.00,45.00,84,Auvergne-Rhône-Alpes,15,Cantal,AZ,"Agriculture, sylviculture et pêche",2020-07-21
Activite Partielle,100.00,965.00,414605.00,100.00,84,Auvergne-Rhône-Alpes,15,Cantal,C1,Fabr. de denrées alimentaires - boissons et prod. à base de tabac de boissons et de produits à base de tabac,2020-07-21
Activite Partielle,5.00,60.00,16195.00,5.00,84,Auvergne-Rhône-Alpes,15,Cantal,C3,Fabr. d'équipements ; fabrication de machines,2020-07-21
Activite Partielle,105.00,2600.00,1569585.00,100.00,84,Auvergne-Rhône-Alpes,15,Cantal,C5,Fabrication d'autres produits indus.,2020-07-21
Activite Partielle,15.00,45.00,24540.00,15.00,84,Auvergne-Rhône-Alpes,15,Cantal,DE,Industries extractives,2020-07-21
Activite Partielle,425.00,3290.00,1631535.00,415.00,84,Auvergne-Rhône-Alpes,15,Cantal,FZ,Construction,2020-07-21
Activite Partielle,735.00,4110.00,1926160.00,705.00,84,Auvergne-Rhône-Alpes,15,Cantal,GZ,Commerce,2020-07-21
Activite Partielle,85.00,1500.00,589860.00,80.00,84,Auvergne-Rhône-Alpes,15,Cantal,HZ,Transports et entreposage,2020-07-21
Activite Partielle,410.00,1480.00,761820.00,385.00,84,Auvergne-Rhône-Alpes,15,Cantal,IZ,Hébergement et restauration,2020-07-21
Activite Partielle,25.00,125.00,60845.00,20.00,84,Auvergne-Rhône-Alpes,15,Cantal,JZ,Information et communication,2020-07-21
Activite Partielle,75.00,220.00,86950.00,70.00,84,Auvergne-Rhône-Alpes,15,Cantal,KZ,Act. financières et d'assurance,2020-07-21
Activite Partielle,30.00,125.00,44900.00,25.00,84,Auvergne-Rhône-Alpes,15,Cantal,LZ,Activités immobilières,2020-07-21
Activite Partielle,310.00,2270.00,865535.00,285.00,84,Auvergne-Rhône-Alpes,15,Cantal,MN,Act. scientif. et tech. ; services admin. et de soutien,2020-07-21
Activite Partielle,240.00,1970.00,661665.00,225.00,84,Auvergne-Rhône-Alpes,15,Cantal,OQ,"Admin. publique - enseignement, santé humaine et action sociale",2020-07-21
Activite Partielle,275.00,945.00,367220.00,255.00,84,Auvergne-Rhône-Alpes,15,Cantal,RU,Autres activités de services,2020-07-21
Activite Partielle,195.00,1105.00,453125.00,160.00,84,Auvergne-Rhône-Alpes,26,Drôme,AZ,"Agriculture, sylviculture et pêche",2020-07-21
Activite Partielle,385.00,7300.00,2401585.00,335.00,84,Auvergne-Rhône-Alpes,26,Drôme,C1,Fabr. de denrées alimentaires - boissons et prod. à base de tabac de boissons et de produits à base de tabac,2020-07-21
Activite Partielle,110.00,3645.00,1627885.00,85.00,84,Auvergne-Rhône-Alpes,26,Drôme,C3,Fabr. d'équipements ; fabrication de machines,2020-07-21
Activite Partielle,35.00,1340.00,613460.00,30.00,84,Auvergne-Rhône-Alpes,26,Drôme,C4,Fabrication de matériels de transport,2020-07-21
Activite Partielle,855.00,17030.00,7204375.00,705.00,84,Auvergne-Rhône-Alpes,26,Drôme,C5,Fabrication d'autres produits indus.,2020-07-21
Activite Partielle,105.00,1870.00,781420.00,100.00,84,Auvergne-Rhône-Alpes,26,Drôme,DE,Industries extractives,2020-07-21
Activite Partielle,1665.00,12365.00,5226855.00,1510.00,84,Auvergne-Rhône-Alpes,26,Drôme,FZ,Construction,2020-07-21
Activite Partielle,3045.00,18860.00,8544280.00,2710.00,84,Auvergne-Rhône-Alpes,26,Drôme,GZ,Commerce,2020-07-21
Activite Partielle,385.00,8305.00,3396225.00,340.00,84,Auvergne-Rhône-Alpes,26,Drôme,HZ,Transports et entreposage,2020-07-21
Activite Partielle,1395.00,7870.00,3874435.00,1190.00,84,Auvergne-Rhône-Alpes,26,Drôme,IZ,Hébergement et restauration,2020-07-21
Activite Partielle,165.00,1550.00,455340.00,145.00,84,Auvergne-Rhône-Alpes,26,Drôme,JZ,Information et communication,2020-07-21
Activite Partielle,380.00,2115.00,975710.00,325.00,84,Auvergne-Rhône-Alpes,26,Drôme,KZ,Act. financières et d'assurance,2020-07-21
Activite Partielle,185.00,765.00,285360.00,160.00,84,Auvergne-Rhône-Alpes,26,Drôme,LZ,Activités immobilières,2020-07-21
Activite Partielle,1590.00,23335.00,6082525.00,1405.00,84,Auvergne-Rhône-Alpes,26,Drôme,MN,Act. scientif. et tech. ; services admin. et de soutien,2020-07-21
Activite Partielle,1005.00,8355.00,2213925.00,875.00,84,Auvergne-Rhône-Alpes,26,Drôme,OQ,"Admin. publique - enseignement, santé humaine et action sociale",2020-07-21
Activite Partielle,1430.00,6315.00,1823820.00,1155.00,84,Auvergne-Rhône-Alpes,26,Drôme,RU,Autres activités de services,2020-07-21
Activite Partielle,50.00,205.00,82515.00,50.00,84,Auvergne-Rhône-Alpes,43,Haute-Loire,AZ,"Agriculture, sylviculture et pêche",2020-07-21
Activite Partielle,190.00,1065.00,406625.00,175.00,84,Auvergne-Rhône-Alpes,43,Haute-Loire,C1,Fabr. de denrées alimentaires - boissons et prod. à base de tabac de boissons et de produits à base de tabac,2020-07-21
Activite Partielle,25.00,735.00,258185.00,20.00,84,Auvergne-Rhône-Alpes,43,Haute-Loire,C3,Fabr. d'équipements ; fabrication de machines,2020-07-21
Activite Partielle,10.00,1265.00,474095.00,10.00,84,Auvergne-Rhône-Alpes,43,Haute-Loire,C4,Fabrication de matériels de transport,2020-07-21
Activite Partielle,425.00,8155.00,3922795.00,365.00,84,Auvergne-Rhône-Alpes,43,Haute-Loire,C5,Fabrication d'autres produits indus.,2020-07-21
Activite Partielle,50.00,360.00,151655.00,45.00,84,Auvergne-Rhône-Alpes,43,Haute-Loire,DE,Industries extractives,2020-07-21
Activite Partielle,680.00,4340.00,2044205.00,650.00,84,Auvergne-Rhône-Alpes,43,Haute-Loire,FZ,Construction,2020-07-21
Activite Partielle,1070.00,5205.00,2308735.00,990.00,84,Auvergne-Rhône-Alpes,43,Haute-Loire,GZ,Commerce,2020-07-21
Activite Partielle,125.00,1415.00,765415.00,120.00,84,Auvergne-Rhône-Alpes,43,Haute-Loire,HZ,Transports et entreposage,2020-07-21
Activite Partielle,510.00,2230.00,1094485.00,455.00,84,Auvergne-Rhône-Alpes,43,Haute-Loire,IZ,Hébergement et restauration,2020-07-21
Activite Partielle,45.00,290.00,140040.00,45.00,84,Auvergne-Rhône-Alpes,43,Haute-Loire,JZ,Information et communication,2020-07-21
Activite Partielle,130.00,450.00,178935.00,125.00,84,Auvergne-Rhône-Alpes,43,Haute-Loire,KZ,Act. financières et d'assurance,2020-07-21
Activite Partielle,40.00,155.00,64165.00,35.00,84,Auvergne-Rhône-Alpes,43,Haute-Loire,LZ,Activités immobilières,2020-07-21
Activite Partielle,400.00,3680.00,1402980.00,375.00,84,Auvergne-Rhône-Alpes,43,Haute-Loire,MN,Act. scientif. et tech. ; services admin. et de soutien,2020-07-21
Activite Partielle,435.00,3590.00,1184425.00,395.00,84,Auvergne-Rhône-Alpes,43,Haute-Loire,OQ,"Admin. publique - enseignement, santé humaine et action sociale",2020-07-21
Activite Partielle,550.00,1990.00,608080.00,490.00,84,Auvergne-Rhône-Alpes,43,Haute-Loire,RU,Autres activités de services,2020-07-21
Activite Partielle,80.00,375.00,163900.00,80.00,84,Auvergne-Rhône-Alpes,74,Haute-Savoie,AZ,"Agriculture, sylviculture et pêche",2020-07-21
Activite Partielle,455.00,3670.00,1559090.00,425.00,84,Auvergne-Rhône-Alpes,74,Haute-Savoie,C1,Fabr. de denrées alimentaires - boissons et prod. à base de tabac de boissons et de produits à base de tabac,2020-07-21
Activite Partielle,165.00,9040.00,4780820.00,135.00,84,Auvergne-Rhône-Alpes,74,Haute-Savoie,C3,Fabr. d'équipements ; fabrication de machines,2020-07-21
Activite Partielle,20.00,1540.00,831025.00,20.00,84,Auvergne-Rhône-Alpes,74,Haute-Savoie,C4,Fabrication de matériels de transport,2020-07-21
Activite Partielle,1160.00,24685.00,12969040.00,1035.00,84,Auvergne-Rhône-Alpes,74,Haute-Savoie,C5,Fabrication d'autres produits indus.,2020-07-21
Activite Partielle,95.00,1165.00,528830.00,95.00,84,Auvergne-Rhône-Alpes,74,Haute-Savoie,DE,Industries extractives,2020-07-21
Activite Partielle,2410.00,17410.00,8639245.00,2290.00,84,Auvergne-Rhône-Alpes,74,Haute-Savoie,FZ,Construction,2020-07-21
Activite Partielle,4550.00,29920.00,15000020.00,4260.00,84,Auvergne-Rhône-Alpes,74,Haute-Savoie,GZ,Commerce,2020-07-21
Activite Partielle,485.00,10500.00,4850875.00,440.00,84,Auvergne-Rhône-Alpes,74,Haute-Savoie,HZ,Transports et entreposage,2020-07-21
Activite Partielle,3125.00,23575.00,11418265.00,2880.00,84,Auvergne-Rhône-Alpes,74,Haute-Savoie,IZ,Hébergement et restauration,2020-07-21
Activite Partielle,235.00,1640.00,645495.00,215.00,84,Auvergne-Rhône-Alpes,74,Haute-Savoie,JZ,Information et communication,2020-07-21
Activite Partielle,575.00,2095.00,913005.00,530.00,84,Auvergne-Rhône-Alpes,74,Haute-Savoie,KZ,Act. financières et d'assurance,2020-07-21
Activite Partielle,600.00,2340.00,1060720.00,570.00,84,Auvergne-Rhône-Alpes,74,Haute-Savoie,LZ,Activités immobilières,2020-07-21
Activite Partielle,2605.00,24275.00,8900225.00,2385.00,84,Auvergne-Rhône-Alpes,74,Haute-Savoie,MN,Act. scientif. et tech. ; services admin. et de soutien,2020-07-21
Activite Partielle,1375.00,11140.00,3847235.00,1225.00,84,Auvergne-Rhône-Alpes,74,Haute-Savoie,OQ,"Admin. publique - enseignement, santé humaine et action sociale",2020-07-21
Activite Partielle,1930.00,9200.00,3526710.00,1680.00,84,Auvergne-Rhône-Alpes,74,Haute-Savoie,RU,Autres activités de services,2020-07-21
Activite Partielle,120.00,490.00,173010.00,110.00,84,Auvergne-Rhône-Alpes,38,Isère,AZ,"Agriculture, sylviculture et pêche",2020-07-21
Activite Partielle,535.00,4080.00,1636500.00,495.00,84,Auvergne-Rhône-Alpes,38,Isère,C1,Fabr. de denrées alimentaires - boissons et prod. à base de tabac de boissons et de produits à base de tabac,2020-07-21
Activite Partielle,350.00,19690.00,6945555.00,285.00,84,Auvergne-Rhône-Alpes,38,Isère,C3,Fabr. d'équipements ; fabrication de machines,2020-07-21
Activite Partielle,40.00,1515.00,756120.00,35.00,84,Auvergne-Rhône-Alpes,38,Isère,C4,Fabrication de matériels de transport,2020-07-21
Activite Partielle,1710.00,29520.00,14370455.00,1420.00,84,Auvergne-Rhône-Alpes,38,Isère,C5,Fabrication d'autres produits indus.,2020-07-21
Activite Partielle,195.00,2785.00,1010325.00,170.00,84,Auvergne-Rhône-Alpes,38,Isère,DE,Industries extractives,2020-07-21
