dispositif,nombre_demandes_deposees,nombre_salaries_concernes,nombre_heures_demandees,nombre_etablissements_concernes,reg,libelle_region,code_section_nace17,libelle_section_nace17,date_maj
Activite Partielle,1160.00,5175.00,2099985.00,1060.00,84,Auvergne-Rhône-Alpes,AZ,"Agriculture, sylviculture et pêche",2020-07-07
Activite Partielle,4145.00,36480.00,14092905.00,3820.00,84,Auvergne-Rhône-Alpes,C1,Fabr. de denrées alimentaires - boissons et prod. à base de tabac de boissons et de produits à base de tabac,2020-07-07
Activite Partielle,1680.00,72575.00,28673420.00,1410.00,84,Auvergne-Rhône-Alpes,C3,Fabr. d'équipements ; fabrication de machines,2020-07-07
Activite Partielle,355.00,29890.00,14927605.00,315.00,84,Auvergne-Rhône-Alpes,C4,Fabrication de matériels de transport,2020-07-07
Activite Partielle,11015.00,217095.00,99420635.00,9500.00,84,Auvergne-Rhône-Alpes,C5,Fabrication d'autres produits indus.,2020-07-07
Activite Partielle,1245.00,17760.00,7238645.00,1160.00,84,Auvergne-Rhône-Alpes,DE,Industries extractives,2020-07-07
Activite Partielle,23885.00,185545.00,88400900.00,21880.00,84,Auvergne-Rhône-Alpes,FZ,Construction,2020-07-07
Activite Partielle,39955.00,271415.00,127529290.00,36705.00,84,Auvergne-Rhône-Alpes,GZ,Commerce,2020-07-07
Activite Partielle,5645.00,120860.00,50127365.00,5035.00,84,Auvergne-Rhône-Alpes,HZ,Transports et entreposage,2020-07-07
Activite Partielle,22445.00,146735.00,70285860.00,19890.00,84,Auvergne-Rhône-Alpes,IZ,Hébergement et restauration,2020-07-07
Activite Partielle,3310.00,41550.00,16123460.00,2895.00,84,Auvergne-Rhône-Alpes,JZ,Information et communication,2020-07-07
Activite Partielle,5415.00,25130.00,10577265.00,4965.00,84,Auvergne-Rhône-Alpes,KZ,Act. financières et d'assurance,2020-07-07
Activite Partielle,3485.00,17635.00,6841245.00,3240.00,84,Auvergne-Rhône-Alpes,LZ,Activités immobilières,2020-07-07
Activite Partielle,25980.00,325425.00,119213165.00,23250.00,84,Auvergne-Rhône-Alpes,MN,Act. scientif. et tech. ; services admin. et de soutien,2020-07-07
Activite Partielle,14375.00,130515.00,39494260.00,12755.00,84,Auvergne-Rhône-Alpes,OQ,"Admin. publique - enseignement, santé humaine et action sociale",2020-07-07
Activite Partielle,19165.00,97780.00,32148015.00,16320.00,84,Auvergne-Rhône-Alpes,RU,Autres activités de services,2020-07-07
Activite Partielle,735.00,2935.00,1074865.00,640.00,27,Bourgogne-Franche-Comté,AZ,"Agriculture, sylviculture et pêche",2020-07-07
Activite Partielle,1435.00,11575.00,4953185.00,1320.00,27,Bourgogne-Franche-Comté,C1,Fabr. de denrées alimentaires - boissons et prod. à base de tabac de boissons et de produits à base de tabac,2020-07-07
Activite Partielle,490.00,22365.00,8825010.00,385.00,27,Bourgogne-Franche-Comté,C3,Fabr. d'équipements ; fabrication de machines,2020-07-07
Activite Partielle,170.00,48990.00,14608405.00,120.00,27,Bourgogne-Franche-Comté,C4,Fabrication de matériels de transport,2020-07-07
Activite Partielle,3535.00,83390.00,39259935.00,2965.00,27,Bourgogne-Franche-Comté,C5,Fabrication d'autres produits indus.,2020-07-07
Activite Partielle,455.00,5965.00,2244150.00,435.00,27,Bourgogne-Franche-Comté,DE,Industries extractives,2020-07-07
Activite Partielle,6720.00,49565.00,22732415.00,6130.00,27,Bourgogne-Franche-Comté,FZ,Construction,2020-07-07
Activite Partielle,12545.00,78730.00,36639335.00,11540.00,27,Bourgogne-Franche-Comté,GZ,Commerce,2020-07-07
Activite Partielle,1660.00,35320.00,13497705.00,1495.00,27,Bourgogne-Franche-Comté,HZ,Transports et entreposage,2020-07-07
Activite Partielle,6140.00,34960.00,17358865.00,5280.00,27,Bourgogne-Franche-Comté,IZ,Hébergement et restauration,2020-07-07
Activite Partielle,550.00,3530.00,1521025.00,475.00,27,Bourgogne-Franche-Comté,JZ,Information et communication,2020-07-07
Activite Partielle,1700.00,7600.00,3584900.00,1575.00,27,Bourgogne-Franche-Comté,KZ,Act. financières et d'assurance,2020-07-07
Activite Partielle,765.00,3900.00,1362720.00,695.00,27,Bourgogne-Franche-Comté,LZ,Activités immobilières,2020-07-07
Activite Partielle,6355.00,85655.00,29265230.00,5695.00,27,Bourgogne-Franche-Comté,MN,Act. scientif. et tech. ; services admin. et de soutien,2020-07-07
Activite Partielle,4410.00,41285.00,13422225.00,3945.00,27,Bourgogne-Franche-Comté,OQ,"Admin. publique - enseignement, santé humaine et action sociale",2020-07-07
Activite Partielle,5815.00,27660.00,9530185.00,4950.00,27,Bourgogne-Franche-Comté,RU,Autres activités de services,2020-07-07
Activite Partielle,1245.00,6555.00,2970685.00,1155.00,53,Bretagne,AZ,"Agriculture, sylviculture et pêche",2020-07-07
Activite Partielle,1950.00,28525.00,12731230.00,1810.00,53,Bretagne,C1,Fabr. de denrées alimentaires - boissons et prod. à base de tabac de boissons et de produits à base de tabac,2020-07-07
Activite Partielle,380.00,15265.00,6751395.00,325.00,53,Bretagne,C3,Fabr. d'équipements ; fabrication de machines,2020-07-07
Activite Partielle,180.00,12780.00,4302280.00,150.00,53,Bretagne,C4,Fabrication de matériels de transport,2020-07-07
Activite Partielle,2795.00,54655.00,24842755.00,2485.00,53,Bretagne,C5,Fabrication d'autres produits indus.,2020-07-07
Activite Partielle,435.00,5515.00,2263400.00,410.00,53,Bretagne,DE,Industries extractives,2020-07-07
Activite Partielle,8925.00,73960.00,39745010.00,8315.00,53,Bretagne,FZ,Construction,2020-07-07
Activite Partielle,14985.00,97915.00,49846725.00,14025.00,53,Bretagne,GZ,Commerce,2020-07-07
Activite Partielle,1710.00,38195.00,18998910.00,1560.00,53,Bretagne,HZ,Transports et entreposage,2020-07-07
Activite Partielle,8600.00,50615.00,26500145.00,7695.00,53,Bretagne,IZ,Hébergement et restauration,2020-07-07
Activite Partielle,1015.00,12580.00,5018915.00,870.00,53,Bretagne,JZ,Information et communication,2020-07-07
Activite Partielle,1905.00,15715.00,5883570.00,1790.00,53,Bretagne,KZ,Act. financières et d'assurance,2020-07-07
Activite Partielle,1255.00,5535.00,2621675.00,1175.00,53,Bretagne,LZ,Activités immobilières,2020-07-07
Activite Partielle,8800.00,115060.00,43604205.00,7975.00,53,Bretagne,MN,Act. scientif. et tech. ; services admin. et de soutien,2020-07-07
Activite Partielle,5220.00,43150.00,13446990.00,4710.00,53,Bretagne,OQ,"Admin. publique - enseignement, santé humaine et action sociale",2020-07-07
Activite Partielle,7795.00,37085.00,12931720.00,6510.00,53,Bretagne,RU,Autres activités de services,2020-07-07
Activite Partielle,640.00,2540.00,902375.00,590.00,24,Centre-Val de Loire,AZ,"Agriculture, sylviculture et pêche",2020-07-07
Activite Partielle,1045.00,9730.00,4295415.00,980.00,24,Centre-Val de Loire,C1,Fabr. de denrées alimentaires - boissons et prod. à base de tabac de boissons et de produits à base de tabac,2020-07-07
Activite Partielle,425.00,20670.00,8753875.00,355.00,24,Centre-Val de Loire,C3,Fabr. d'équipements ; fabrication de machines,2020-07-07
Activite Partielle,110.00,11005.00,4698630.00,90.00,24,Centre-Val de Loire,C4,Fabrication de matériels de transport,2020-07-07
Activite Partielle,2625.00,55735.00,25432690.00,2285.00,24,Centre-Val de Loire,C5,Fabrication d'autres produits indus.,2020-07-07
Activite Partielle,375.00,4905.00,1838815.00,350.00,24,Centre-Val de Loire,DE,Industries extractives,2020-07-07
Activite Partielle,6490.00,52665.00,25147310.00,6035.00,24,Centre-Val de Loire,FZ,Construction,2020-07-07
Activite Partielle,10165.00,68435.00,32820730.00,9430.00,24,Centre-Val de Loire,GZ,Commerce,2020-07-07
Activite Partielle,1560.00,34425.00,12875600.00,1415.00,24,Centre-Val de Loire,HZ,Transports et entreposage,2020-07-07
Activite Partielle,5350.00,31360.00,16353065.00,4700.00,24,Centre-Val de Loire,IZ,Hébergement et restauration,2020-07-07
Activite Partielle,620.00,5765.00,2162420.00,535.00,24,Centre-Val de Loire,JZ,Information et communication,2020-07-07
Activite Partielle,1290.00,6895.00,2517115.00,1185.00,24,Centre-Val de Loire,KZ,Act. financières et d'assurance,2020-07-07
Activite Partielle,775.00,4010.00,1596485.00,720.00,24,Centre-Val de Loire,LZ,Activités immobilières,2020-07-07
Activite Partielle,5855.00,85960.00,27501790.00,5300.00,24,Centre-Val de Loire,MN,Act. scientif. et tech. ; services admin. et de soutien,2020-07-07
Activite Partielle,3790.00,32345.00,10752335.00,3405.00,24,Centre-Val de Loire,OQ,"Admin. publique - enseignement, santé humaine et action sociale",2020-07-07
Activite Partielle,5755.00,26105.00,8447270.00,4825.00,24,Centre-Val de Loire,RU,Autres activités de services,2020-07-07
Activite Partielle,210.00,855.00,491355.00,205.00,94,Corse,AZ,"Agriculture, sylviculture et pêche",2020-07-07
Activite Partielle,300.00,1980.00,1165445.00,295.00,94,Corse,C1,Fabr. de denrées alimentaires - boissons et prod. à base de tabac de boissons et de produits à base de tabac,2020-07-07
Activite Partielle,15.00,115.00,67155.00,15.00,94,Corse,C3,Fabr. d'équipements ; fabrication de machines,2020-07-07
Activite Partielle,5.00,245.00,219995.00,5.00,94,Corse,C4,Fabrication de matériels de transport,2020-07-07
Activite Partielle,295.00,1420.00,873035.00,290.00,94,Corse,C5,Fabrication d'autres produits indus.,2020-07-07
Activite Partielle,65.00,550.00,338855.00,55.00,94,Corse,DE,Industries extractives,2020-07-07
Activite Partielle,1920.00,11355.00,7371880.00,1860.00,94,Corse,FZ,Construction,2020-07-07
Activite Partielle,2360.00,12190.00,7340035.00,2300.00,94,Corse,GZ,Commerce,2020-07-07
Activite Partielle,360.00,4555.00,2018800.00,355.00,94,Corse,HZ,Transports et entreposage,2020-07-07
Activite Partielle,1750.00,9740.00,6241095.00,1690.00,94,Corse,IZ,Hébergement et restauration,2020-07-07
Activite Partielle,120.00,785.00,360270.00,115.00,94,Corse,JZ,Information et communication,2020-07-07
Activite Partielle,260.00,1115.00,581500.00,250.00,94,Corse,KZ,Act. financières et d'assurance,2020-07-07
Activite Partielle,290.00,885.00,536830.00,280.00,94,Corse,LZ,Activités immobilières,2020-07-07
Activite Partielle,1240.00,7760.00,4151515.00,1185.00,94,Corse,MN,Act. scientif. et tech. ; services admin. et de soutien,2020-07-07
Activite Partielle,595.00,4910.00,1667425.00,565.00,94,Corse,OQ,"Admin. publique - enseignement, santé humaine et action sociale",2020-07-07
Activite Partielle,785.00,3030.00,1713005.00,730.00,94,Corse,RU,Autres activités de services,2020-07-07
Activite Partielle,1445.00,5675.00,2545715.00,1360.00,44,Grand Est,AZ,"Agriculture, sylviculture et pêche",2020-07-07
Activite Partielle,2755.00,29235.00,13215060.00,2545.00,44,Grand Est,C1,Fabr. de denrées alimentaires - boissons et prod. à base de tabac de boissons et de produits à base de tabac,2020-07-07
Activite Partielle,840.00,41635.00,19353590.00,725.00,44,Grand Est,C3,Fabr. d'équipements ; fabrication de machines,2020-07-07
Activite Partielle,245.00,58365.00,18205270.00,185.00,44,Grand Est,C4,Fabrication de matériels de transport,2020-07-07
Activite Partielle,5735.00,140695.00,68053390.00,4985.00,44,Grand Est,C5,Fabrication d'autres produits indus.,2020-07-07
Activite Partielle,880.00,11805.00,5914310.00,805.00,44,Grand Est,DE,Industries extractives,2020-07-07
Activite Partielle,14115.00,114490.00,58304275.00,12985.00,44,Grand Est,FZ,Construction,2020-07-07
Activite Partielle,25195.00,169135.00,90088640.00,23195.00,44,Grand Est,GZ,Commerce,2020-07-07
Activite Partielle,3365.00,75620.00,34941240.00,2990.00,44,Grand Est,HZ,Transports et entreposage,2020-07-07
Activite Partielle,12305.00,84305.00,43897740.00,10720.00,44,Grand Est,IZ,Hébergement et restauration,2020-07-07
Activite Partielle,1445.00,12010.00,5138640.00,1285.00,44,Grand Est,JZ,Information et communication,2020-07-07
Activite Partielle,2895.00,12340.00,5095575.00,2680.00,44,Grand Est,KZ,Act. financières et d'assurance,2020-07-07
