dispositif,nombre_reports,montant_total,reg,libelle_region,code_section,libelle_section,date_maj
Reports d'échéances fiscales,17.00,193292.00,84,Auvergne-Rhône-Alpes,A,"Agriculture, sylviculture et pêche",2021-03-11
Reports d'échéances fiscales,5.00,152136.00,84,Auvergne-Rhône-Alpes,B,Industries extractives,2021-03-11
Reports d'échéances fiscales,1103.00,77384664.00,84,Auvergne-Rhône-Alpes,C,Industrie manufacturière,2021-03-11
Reports d'échéances fiscales,14.00,1324825.00,84,Auvergne-Rhône-Alpes,D,"Production et distribution d'électricité, de gaz, de vapeur et d'air conditionné",2021-03-11
Reports d'échéances fiscales,38.00,2869501.00,84,Auvergne-Rhône-Alpes,E,"Production et distribution d'eau ; assainissement, gestion des déchets et dépollution",2021-03-11
Reports d'échéances fiscales,1036.00,25638236.00,84,Auvergne-Rhône-Alpes,F,Construction,2021-03-11
Reports d'échéances fiscales,2514.00,91424104.00,84,Auvergne-Rhône-Alpes,G,Commerce,2021-03-11
Reports d'échéances fiscales,295.00,12547592.00,84,Auvergne-Rhône-Alpes,H,Transports et entreposage,2021-03-11
Reports d'échéances fiscales,1875.00,20922122.00,84,Auvergne-Rhône-Alpes,I,Hébergement et restauration,2021-03-11
Reports d'échéances fiscales,280.00,13775090.00,84,Auvergne-Rhône-Alpes,J,Information et communication,2021-03-11
Reports d'échéances fiscales,470.00,19981441.00,84,Auvergne-Rhône-Alpes,K,Activités financières et d'assurance,2021-03-11
Reports d'échéances fiscales,832.00,13672407.00,84,Auvergne-Rhône-Alpes,L,Activités immobilières,2021-03-11
Reports d'échéances fiscales,1151.00,49223925.00,84,Auvergne-Rhône-Alpes,M,"Activités spécialisées, scientifiques et techniques",2021-03-11
Reports d'échéances fiscales,459.00,15213865.00,84,Auvergne-Rhône-Alpes,N,Activités de services administratifs et de soutien,2021-03-11
Reports d'échéances fiscales,170.00,2201249.00,84,Auvergne-Rhône-Alpes,P,Enseignement,2021-03-11
Reports d'échéances fiscales,351.00,10394273.00,84,Auvergne-Rhône-Alpes,Q,Santé humaine et action sociale,2021-03-11
Reports d'échéances fiscales,254.00,15045845.00,84,Auvergne-Rhône-Alpes,R,"Arts, spectacles et activités récréatives",2021-03-11
Reports d'échéances fiscales,316.00,3231623.00,84,Auvergne-Rhône-Alpes,S,Autres activités de services,2021-03-11
Reports d'échéances fiscales,94.00,674018.00,84,Auvergne-Rhône-Alpes,Z,Non connu,2021-03-11
Reports d'échéances fiscales,31.00,606784.00,27,Bourgogne-Franche-Comté,A,"Agriculture, sylviculture et pêche",2021-03-11
