dispositif,volet,nombre_aides,nombre_entreprises,montant_total,reg,libelle_region,code_categorie_juridique,libelle_categorie_juridique
Fonds de solidarité,VOLET1,482841,149032,731688616.00,84,Auvergne-Rhône-Alpes,10,Entrepreneur individuel
Fonds de solidarité,VOLET1,367,119,558574.00,84,Auvergne-Rhône-Alpes,21,Indivision
Fonds de solidarité,VOLET1,551,159,1379936.00,84,Auvergne-Rhône-Alpes,22,Société créée de fait
Fonds de solidarité,VOLET1,10,3,13788.00,84,Auvergne-Rhône-Alpes,23,Société en participation
Fonds de solidarité,VOLET1,19,5,39953.00,84,Auvergne-Rhône-Alpes,29,Autre groupement de droit privé non doté de la personnalité morale
Fonds de solidarité,VOLET1,9,4,92494.00,84,Auvergne-Rhône-Alpes,41,Etablissement public ou régie à caractère industriel ou commercial
Fonds de solidarité,VOLET1,1633,523,4991937.00,84,Auvergne-Rhône-Alpes,52,Société en nom collectif
Fonds de solidarité,VOLET1,39,13,212531.00,84,Auvergne-Rhône-Alpes,53,Société en commandite
Fonds de solidarité,VOLET1,186943,59915,495949049.00,84,Auvergne-Rhône-Alpes,54,Société à responsabilité limitée (SARL)
Fonds de solidarité,VOLET1,360,154,1891790.00,84,Auvergne-Rhône-Alpes,55,Société anonyme à conseil d'administration
Fonds de solidarité,VOLET1,9,6,89145.00,84,Auvergne-Rhône-Alpes,56,Société anonyme à directoire
Fonds de solidarité,VOLET1,97196,29928,242993222.00,84,Auvergne-Rhône-Alpes,57,Société par actions simplifiée
Fonds de solidarité,VOLET1,71,26,142226.00,84,Auvergne-Rhône-Alpes,62,Groupement d'intérêt économique
Fonds de solidarité,VOLET1,5329,2408,9465849.00,84,Auvergne-Rhône-Alpes,65,Société civile
Fonds de solidarité,VOLET1,120,39,383580.00,84,Auvergne-Rhône-Alpes,84,Organisme professionnel
Fonds de solidarité,VOLET1,12670,3371,27996070.00,84,Auvergne-Rhône-Alpes,92,Association loi 1901 ou assimilé
Fonds de solidarité,VOLET1,10,3,39369.00,84,Auvergne-Rhône-Alpes,93,Fondation
Fonds de solidarité,VOLET1,114309,36514,170513371.00,27,Bourgogne-Franche-Comté,10,Entrepreneur individuel
Fonds de solidarité,VOLET1,76,22,131659.00,27,Bourgogne-Franche-Comté,21,Indivision
Fonds de solidarité,VOLET1,52,22,105594.00,27,Bourgogne-Franche-Comté,22,Société créée de fait
Fonds de solidarité,VOLET1,10,4,20239.00,27,Bourgogne-Franche-Comté,23,Société en participation
Fonds de solidarité,VOLET1,18,5,44000.00,27,Bourgogne-Franche-Comté,41,Etablissement public ou régie à caractère industriel ou commercial
Fonds de solidarité,VOLET1,513,152,1414374.00,27,Bourgogne-Franche-Comté,52,Société en nom collectif
Fonds de solidarité,VOLET1,50375,16501,130308401.00,27,Bourgogne-Franche-Comté,54,Société à responsabilité limitée (SARL)
Fonds de solidarité,VOLET1,89,39,373571.00,27,Bourgogne-Franche-Comté,55,Société anonyme à conseil d'administration
Fonds de solidarité,VOLET1,12,4,58962.00,27,Bourgogne-Franche-Comté,56,Société anonyme à directoire
Fonds de solidarité,VOLET1,18349,5922,45324604.00,27,Bourgogne-Franche-Comté,57,Société par actions simplifiée
Fonds de solidarité,VOLET1,22,7,31813.00,27,Bourgogne-Franche-Comté,62,Groupement d'intérêt économique
Fonds de solidarité,VOLET1,2157,968,4090154.00,27,Bourgogne-Franche-Comté,65,Société civile
Fonds de solidarité,VOLET1,21,6,37926.00,27,Bourgogne-Franche-Comté,84,Organisme professionnel
Fonds de solidarité,VOLET1,3261,909,6958234.00,27,Bourgogne-Franche-Comté,92,Association loi 1901 ou assimilé
Fonds de solidarité,VOLET1,139902,46559,213041384.00,53,Bretagne,10,Entrepreneur individuel
Fonds de solidarité,VOLET1,79,27,98950.00,53,Bretagne,21,Indivision
Fonds de solidarité,VOLET1,122,40,270817.00,53,Bretagne,22,Société créée de fait
Fonds de solidarité,VOLET1,1818,552,5999382.00,53,Bretagne,52,Société en nom collectif
Fonds de solidarité,VOLET1,9,3,13500.00,53,Bretagne,53,Société en commandite
Fonds de solidarité,VOLET1,70261,22989,187159097.00,53,Bretagne,54,Société à responsabilité limitée (SARL)
Fonds de solidarité,VOLET1,85,33,568089.00,53,Bretagne,55,Société anonyme à conseil d'administration
Fonds de solidarité,VOLET1,8,4,37500.00,53,Bretagne,56,Société anonyme à directoire
Fonds de solidarité,VOLET1,14962,4925,38270344.00,53,Bretagne,57,Société par actions simplifiée
Fonds de solidarité,VOLET1,11,4,29284.00,53,Bretagne,62,Groupement d'intérêt économique
Fonds de solidarité,VOLET1,1805,690,3117483.00,53,Bretagne,65,Société civile
Fonds de solidarité,VOLET1,4069,1133,8822236.00,53,Bretagne,92,Association loi 1901 ou assimilé
Fonds de solidarité,VOLET1,101036,32411,153077338.00,24,Centre-Val de Loire,10,Entrepreneur individuel
Fonds de solidarité,VOLET1,52,16,69318.00,24,Centre-Val de Loire,21,Indivision
Fonds de solidarité,VOLET1,72,19,149477.00,24,Centre-Val de Loire,22,Société créée de fait
Fonds de solidarité,VOLET1,668,221,2013445.00,24,Centre-Val de Loire,52,Société en nom collectif
Fonds de solidarité,VOLET1,43363,14184,109037764.00,24,Centre-Val de Loire,54,Société à responsabilité limitée (SARL)
Fonds de solidarité,VOLET1,77,30,542027.00,24,Centre-Val de Loire,55,Société anonyme à conseil d'administration
Fonds de solidarité,VOLET1,11,6,48832.00,24,Centre-Val de Loire,56,Société anonyme à directoire
Fonds de solidarité,VOLET1,17431,5495,41322374.00,24,Centre-Val de Loire,57,Société par actions simplifiée
Fonds de solidarité,VOLET1,1870,750,3456980.00,24,Centre-Val de Loire,65,Société civile
Fonds de solidarité,VOLET1,19,8,27278.00,24,Centre-Val de Loire,84,Organisme professionnel
Fonds de solidarité,VOLET1,2691,775,5802320.00,24,Centre-Val de Loire,92,Association loi 1901 ou assimilé
Fonds de solidarité,VOLET1,7,4,19000.00,24,Centre-Val de Loire,99,Autre personne morale de droit privé
Fonds de solidarité,VOLET1,30160,9112,48073808.00,94,Corse,10,Entrepreneur individuel
Fonds de solidarité,VOLET1,47,14,77906.00,94,Corse,21,Indivision
Fonds de solidarité,VOLET1,43,17,135618.00,94,Corse,22,Société créée de fait
Fonds de solidarité,VOLET1,102,30,252832.00,94,Corse,52,Société en nom collectif
Fonds de solidarité,VOLET1,12645,3845,37006081.00,94,Corse,54,Société à responsabilité limitée (SARL)
Fonds de solidarité,VOLET1,14,10,115798.00,94,Corse,55,Société anonyme à conseil d'administration
Fonds de solidarité,VOLET1,8474,2569,22183375.00,94,Corse,57,Société par actions simplifiée
Fonds de solidarité,VOLET1,736,235,1334963.00,94,Corse,65,Société civile
Fonds de solidarité,VOLET1,525,128,1087561.00,94,Corse,92,Association loi 1901 ou assimilé
Fonds de solidarité,VOLET1,210676,67949,325048683.00,44,Grand Est,10,Entrepreneur individuel
Fonds de solidarité,VOLET1,174,78,572204.00,44,Grand Est,21,Indivision
Fonds de solidarité,VOLET1,137,44,326526.00,44,Grand Est,22,Société créée de fait
Fonds de solidarité,VOLET1,32,10,52848.00,44,Grand Est,29,Autre groupement de droit privé non doté de la personnalité morale
Fonds de solidarité,VOLET1,842,267,2509677.00,44,Grand Est,52,Société en nom collectif
Fonds de solidarité,VOLET1,25,8,55352.00,44,Grand Est,53,Société en commandite
Fonds de solidarité,VOLET1,98717,32525,251231513.00,44,Grand Est,54,Société à responsabilité limitée (SARL)
Fonds de solidarité,VOLET1,199,88,1033671.00,44,Grand Est,55,Société anonyme à conseil d'administration
Fonds de solidarité,VOLET1,29,13,126085.00,44,Grand Est,56,Société anonyme à directoire
Fonds de solidarité,VOLET1,46595,15123,112372492.00,44,Grand Est,57,Société par actions simplifiée
Fonds de solidarité,VOLET1,26,15,44511.00,44,Grand Est,62,Groupement d'intérêt économique
Fonds de solidarité,VOLET1,111,90,501816.00,44,Grand Est,63,Société coopérative agricole
Fonds de solidarité,VOLET1,7889,4598,30215456.00,44,Grand Est,65,Société civile
Fonds de solidarité,VOLET1,4989,1367,10845782.00,44,Grand Est,92,Association loi 1901 ou assimilé
Fonds de solidarité,VOLET1,45901,11883,69284935.00,01,Guadeloupe,10,Entrepreneur individuel
Fonds de solidarité,VOLET1,14,4,20325.00,01,Guadeloupe,23,Société en participation
Fonds de solidarité,VOLET1,47,11,88296.00,01,Guadeloupe,52,Société en nom collectif
Fonds de solidarité,VOLET1,11048,3142,19645344.00,01,Guadeloupe,54,Société à responsabilité limitée (SARL)
Fonds de solidarité,VOLET1,7,4,19000.00,01,Guadeloupe,55,Société anonyme à conseil d'administration
Fonds de solidarité,VOLET1,10383,2638,17735163.00,01,Guadeloupe,57,Société par actions simplifiée
Fonds de solidarité,VOLET1,673,195,1054870.00,01,Guadeloupe,65,Société civile
Fonds de solidarité,VOLET1,679,187,1110483.00,01,Guadeloupe,92,Association loi 1901 ou assimilé
Fonds de solidarité,VOLET1,18938,3629,38828648.00,03,Guyane,10,Entrepreneur individuel
Fonds de solidarité,VOLET1,4255,881,9423377.00,03,Guyane,54,Société à responsabilité limitée (SARL)
Fonds de solidarité,VOLET1,9,3,13500.00,03,Guyane,55,Société anonyme à conseil d'administration
Fonds de solidarité,VOLET1,6163,1209,13940174.00,03,Guyane,57,Société par actions simplifiée
Fonds de solidarité,VOLET1,12,3,30000.00,03,Guyane,62,Groupement d'intérêt économique
Fonds de solidarité,VOLET1,275,55,561797.00,03,Guyane,65,Société civile
Fonds de solidarité,VOLET1,368,76,801509.00,03,Guyane,92,Association loi 1901 ou assimilé
Fonds de solidarité,VOLET1,210280,65635,311732820.00,32,Hauts-de-France,10,Entrepreneur individuel
Fonds de solidarité,VOLET1,45,19,87813.00,32,Hauts-de-France,21,Indivision
Fonds de solidarité,VOLET1,103,36,188513.00,32,Hauts-de-France,22,Société créée de fait
Fonds de solidarité,VOLET1,10,3,17311.00,32,Hauts-de-France,29,Autre groupement de droit privé non doté de la personnalité morale
Fonds de solidarité,VOLET1,4,3,22883.00,32,Hauts-de-France,41,Etablissement public ou régie à caractère industriel ou commercial
Fonds de solidarité,VOLET1,1763,528,5375676.00,32,Hauts-de-France,52,Société en nom collectif
Fonds de solidarité,VOLET1,10,3,25755.00,32,Hauts-de-France,53,Société en commandite
Fonds de solidarité,VOLET1,82125,26317,209253710.00,32,Hauts-de-France,54,Société à responsabilité limitée (SARL)
Fonds de solidarité,VOLET1,214,83,1026177.00,32,Hauts-de-France,55,Société anonyme à conseil d'administration
Fonds de solidarité,VOLET1,13,8,93283.00,32,Hauts-de-France,56,Société anonyme à directoire
Fonds de solidarité,VOLET1,43972,13164,105955251.00,32,Hauts-de-France,57,Société par actions simplifiée
Fonds de solidarité,VOLET1,7,7,46289.00,32,Hauts-de-France,63,Société coopérative agricole
Fonds de solidarité,VOLET1,1985,839,4343675.00,32,Hauts-de-France,65,Société civile
Fonds de solidarité,VOLET1,4168,1171,8978361.00,32,Hauts-de-France,92,Association loi 1901 ou assimilé
Fonds de solidarité,VOLET1,15,6,29766.00,32,Hauts-de-France,99,Autre personne morale de droit privé
Fonds de solidarité,VOLET1,838836,211613,1355378433.00,11,Île-de-France,10,Entrepreneur individuel
Fonds de solidarité,VOLET1,148,39,270229.00,11,Île-de-France,21,Indivision
Fonds de solidarité,VOLET1,366,113,995379.00,11,Île-de-France,22,Société créée de fait
Fonds de solidarité,VOLET1,14,8,55000.00,11,Île-de-France,23,Société en participation
Fonds de solidarité,VOLET1,36,13,93940.00,11,Île-de-France,29,Autre groupement de droit privé non doté de la personnalité morale
Fonds de solidarité,VOLET1,3071,1000,12781071.00,11,Île-de-France,52,Société en nom collectif
Fonds de solidarité,VOLET1,77,26,579532.00,11,Île-de-France,53,Société en commandite
Fonds de solidarité,VOLET1,341490,97713,883320150.00,11,Île-de-France,54,Société à responsabilité limitée (SARL)
Fonds de solidarité,VOLET1,1238,435,6885009.00,11,Île-de-France,55,Société anonyme à conseil d'administration
Fonds de solidarité,VOLET1,81,34,842705.00,11,Île-de-France,56,Société anonyme à directoire
Fonds de solidarité,VOLET1,314468,81652,745999556.00,11,Île-de-France,57,Société par actions simplifiée
Fonds de solidarité,VOLET1,67,18,183414.00,11,Île-de-France,62,Groupement d'intérêt économique
Fonds de solidarité,VOLET1,4076,1438,7084233.00,11,Île-de-France,65,Société civile
Fonds de solidarité,VOLET1,19,6,36722.00,11,Île-de-France,84,Organisme professionnel
Fonds de solidarité,VOLET1,12701,3371,28354144.00,11,Île-de-France,92,Association loi 1901 ou assimilé
Fonds de solidarité,VOLET1,7,3,19000.00,11,Île-de-France,93,Fondation
Fonds de solidarité,VOLET1,27,7,59271.00,11,Île-de-France,99,Autre personne morale de droit privé
Fonds de solidarité,VOLET1,55910,17163,78130869.00,04,La Réunion,10,Entrepreneur individuel
Fonds de solidarité,VOLET1,34,11,46665.00,04,La Réunion,21,Indivision
Fonds de solidarité,VOLET1,32,9,72619.00,04,La Réunion,22,Société créée de fait
Fonds de solidarité,VOLET1,452,160,677665.00,04,La Réunion,52,Société en nom collectif
Fonds de solidarité,VOLET1,16694,5862,27842833.00,04,La Réunion,54,Société à responsabilité limitée (SARL)
Fonds de solidarité,VOLET1,8,5,71823.00,04,La Réunion,55,Société anonyme à conseil d'administration
Fonds de solidarité,VOLET1,4629,1509,7438791.00,04,La Réunion,57,Société par actions simplifiée
Fonds de solidarité,VOLET1,8,4,12000.00,04,La Réunion,62,Groupement d'intérêt économique
Fonds de solidarité,VOLET1,11,3,16500.00,04,La Réunion,63,Société coopérative agricole
Fonds de solidarité,VOLET1,457,166,701230.00,04,La Réunion,65,Société civile
Fonds de solidarité,VOLET1,592,163,933952.00,04,La Réunion,92,Association loi 1901 ou assimilé
Fonds de solidarité,VOLET1,25400,6928,38147905.00,02,Martinique,10,Entrepreneur individuel
Fonds de solidarité,VOLET1,10,3,12233.00,02,Martinique,22,Société créée de fait
Fonds de solidarité,VOLET1,63,21,122020.00,02,Martinique,52,Société en nom collectif
Fonds de solidarité,VOLET1,10631,3079,22501360.00,02,Martinique,54,Société à responsabilité limitée (SARL)
Fonds de solidarité,VOLET1,8,3,31446.00,02,Martinique,55,Société anonyme à conseil d'administration
Fonds de solidarité,VOLET1,7495,2011,14471259.00,02,Martinique,57,Société par actions simplifiée
Fonds de solidarité,VOLET1,371,118,581427.00,02,Martinique,65,Société civile
Fonds de solidarité,VOLET1,455,121,914780.00,02,Martinique,92,Association loi 1901 ou assimilé
Fonds de solidarité,VOLET1,34137,5321,84242708.00,06,Mayotte,10,Entrepreneur individuel
Fonds de solidarité,VOLET1,3296,644,7819610.00,06,Mayotte,54,Société à responsabilité limitée (SARL)
Fonds de solidarité,VOLET1,441,86,1037730.00,06,Mayotte,57,Société par actions simplifiée
Fonds de solidarité,VOLET1,107,17,259913.00,06,Mayotte,65,Société civile
Fonds de solidarité,VOLET1,206,37,516486.00,06,Mayotte,92,Association loi 1901 ou assimilé
Fonds de solidarité,VOLET1,129179,41165,197604971.00,28,Normandie,10,Entrepreneur individuel
Fonds de solidarité,VOLET1,44,15,79574.00,28,Normandie,21,Indivision
Fonds de solidarité,VOLET1,125,41,283970.00,28,Normandie,22,Société créée de fait
Fonds de solidarité,VOLET1,22,7,30936.00,28,Normandie,29,Autre groupement de droit privé non doté de la personnalité morale
Fonds de solidarité,VOLET1,1288,435,4362774.00,28,Normandie,52,Société en nom collectif
Fonds de solidarité,VOLET1,8,4,38658.00,28,Normandie,53,Société en commandite
Fonds de solidarité,VOLET1,53492,17360,140373842.00,28,Normandie,54,Société à responsabilité limitée (SARL)
Fonds de solidarité,VOLET1,67,27,345682.00,28,Normandie,55,Société anonyme à conseil d'administration
Fonds de solidarité,VOLET1,21160,6526,53200655.00,28,Normandie,57,Société par actions simplifiée
Fonds de solidarité,VOLET1,13,4,22323.00,28,Normandie,62,Groupement d'intérêt économique
Fonds de solidarité,VOLET1,1666,635,3013444.00,28,Normandie,65,Société civile
Fonds de solidarité,VOLET1,3031,888,6624901.00,28,Normandie,92,Association loi 1901 ou assimilé
Fonds de solidarité,VOLET1,342641,110819,501578617.00,75,Nouvelle-Aquitaine,10,Entrepreneur individuel
Fonds de solidarité,VOLET1,175,56,232193.00,75,Nouvelle-Aquitaine,21,Indivision
Fonds de solidarité,VOLET1,250,92,530107.00,75,Nouvelle-Aquitaine,22,Société créée de fait
Fonds de solidarité,VOLET1,10,7,17221.00,75,Nouvelle-Aquitaine,27,Paroisse hors zone concordataire
Fonds de solidarité,VOLET1,13,5,25589.00,75,Nouvelle-Aquitaine,29,Autre groupement de droit privé non doté de la personnalité morale
