dispositif,volet,nombre_aides,nombre_entreprises,montant_total,reg,libelle_region,classe_effectif,libelle_classe_effectif
Fonds de solidarité,VOLET2,290,271,1079952.91,84,Auvergne-Rhône-Alpes,00,0 salarié
Fonds de solidarité,VOLET2,1443,1326,7411407.93,84,Auvergne-Rhône-Alpes,01,1 ou 2 salariés
Fonds de solidarité,VOLET2,670,565,6898275.49,84,Auvergne-Rhône-Alpes,02,3 à 5 salariés
Fonds de solidarité,VOLET2,247,190,3607640.56,84,Auvergne-Rhône-Alpes,03,6 à 9 salariés
Fonds de solidarité,VOLET2,84,62,1663934.05,84,Auvergne-Rhône-Alpes,11,10 à 19 salariés
Fonds de solidarité,VOLET2,32,23,1002136.29,84,Auvergne-Rhône-Alpes,12,20 à 49 salariés
Fonds de solidarité,VOLET2,72,71,153188.00,84,Auvergne-Rhône-Alpes,NN,Etablissement non employeur
Fonds de solidarité,VOLET2,91,84,345508.82,27,Bourgogne-Franche-Comté,00,0 salarié
Fonds de solidarité,VOLET2,496,441,2890139.57,27,Bourgogne-Franche-Comté,01,1 ou 2 salariés
Fonds de solidarité,VOLET2,227,198,2008003.64,27,Bourgogne-Franche-Comté,02,3 à 5 salariés
Fonds de solidarité,VOLET2,70,55,1021337.89,27,Bourgogne-Franche-Comté,03,6 à 9 salariés
Fonds de solidarité,VOLET2,20,13,443076.00,27,Bourgogne-Franche-Comté,11,10 à 19 salariés
Fonds de solidarité,VOLET2,31,29,99068.05,27,Bourgogne-Franche-Comté,NN,Etablissement non employeur
Fonds de solidarité,VOLET2,144,129,963310.30,53,Bretagne,00,0 salarié
Fonds de solidarité,VOLET2,547,496,2935518.13,53,Bretagne,01,1 ou 2 salariés
Fonds de solidarité,VOLET2,265,202,3127593.12,53,Bretagne,02,3 à 5 salariés
Fonds de solidarité,VOLET2,113,79,2461716.45,53,Bretagne,03,6 à 9 salariés
Fonds de solidarité,VOLET2,41,29,898794.63,53,Bretagne,11,10 à 19 salariés
Fonds de solidarité,VOLET2,6,4,165141.00,53,Bretagne,12,20 à 49 salariés
Fonds de solidarité,VOLET2,25,25,54083.00,53,Bretagne,NN,Etablissement non employeur
Fonds de solidarité,VOLET2,70,66,258798.00,24,Centre-Val de Loire,00,0 salarié
Fonds de solidarité,VOLET2,415,389,2152864.61,24,Centre-Val de Loire,01,1 ou 2 salariés
Fonds de solidarité,VOLET2,172,148,1517954.75,24,Centre-Val de Loire,02,3 à 5 salariés
