dispositif,volet,nombre_aides,nombre_entreprises,montant_total,reg,libelle_region,code_categorie_juridique,libelle_categorie_juridique
Fonds de solidarité,VOLET2,1890,1768,4912617.65,84,Auvergne-Rhône-Alpes,10,Entrepreneur individuel
Fonds de solidarité,VOLET2,7,7,36216.00,84,Auvergne-Rhône-Alpes,52,Société en nom collectif
Fonds de solidarité,VOLET2,1611,1383,14017320.94,84,Auvergne-Rhône-Alpes,54,Société à responsabilité limitée (SARL)
Fonds de solidarité,VOLET2,4,4,12500.00,84,Auvergne-Rhône-Alpes,55,Société anonyme à conseil d'administration
Fonds de solidarité,VOLET2,1120,977,8582679.67,84,Auvergne-Rhône-Alpes,57,Société par actions simplifiée
Fonds de solidarité,VOLET2,21,20,46998.41,84,Auvergne-Rhône-Alpes,65,Société civile
Fonds de solidarité,VOLET2,58,54,341479.04,84,Auvergne-Rhône-Alpes,92,Association loi 1901 ou assimilé
Fonds de solidarité,VOLET2,322,300,1093117.48,27,Bourgogne-Franche-Comté,10,Entrepreneur individuel
Fonds de solidarité,VOLET2,6,4,21000.00,27,Bourgogne-Franche-Comté,52,Société en nom collectif
Fonds de solidarité,VOLET2,572,493,4594980.95,27,Bourgogne-Franche-Comté,54,Société à responsabilité limitée (SARL)
Fonds de solidarité,VOLET2,281,231,2303998.53,27,Bourgogne-Franche-Comté,57,Société par actions simplifiée
Fonds de solidarité,VOLET2,12,12,35950.00,27,Bourgogne-Franche-Comté,65,Société civile
Fonds de solidarité,VOLET2,9,8,36250.00,27,Bourgogne-Franche-Comté,92,Association loi 1901 ou assimilé
Fonds de solidarité,VOLET2,306,288,1175033.84,53,Bretagne,10,Entrepreneur individuel
Fonds de solidarité,VOLET2,7,7,22500.00,53,Bretagne,52,Société en nom collectif
Fonds de solidarité,VOLET2,758,626,7976231.09,53,Bretagne,54,Société à responsabilité limitée (SARL)
Fonds de solidarité,VOLET2,218,178,1935777.42,53,Bretagne,57,Société par actions simplifiée
Fonds de solidarité,VOLET2,18,18,44471.00,53,Bretagne,65,Société civile
Fonds de solidarité,VOLET2,11,11,44309.04,53,Bretagne,92,Association loi 1901 ou assimilé
Fonds de solidarité,VOLET2,239,228,779844.09,24,Centre-Val de Loire,10,Entrepreneur individuel
Fonds de solidarité,VOLET2,3,3,13236.03,24,Centre-Val de Loire,52,Société en nom collectif
Fonds de solidarité,VOLET2,484,424,4046173.52,24,Centre-Val de Loire,54,Société à responsabilité limitée (SARL)
Fonds de solidarité,VOLET2,218,191,1541795.95,24,Centre-Val de Loire,57,Société par actions simplifiée
Fonds de solidarité,VOLET2,13,13,30500.00,24,Centre-Val de Loire,65,Société civile
Fonds de solidarité,VOLET2,15,11,111929.22,24,Centre-Val de Loire,92,Association loi 1901 ou assimilé
Fonds de solidarité,VOLET2,154,148,408545.37,94,Corse,10,Entrepreneur individuel
Fonds de solidarité,VOLET2,182,170,1151374.44,94,Corse,54,Société à responsabilité limitée (SARL)
Fonds de solidarité,VOLET2,157,148,914082.27,94,Corse,57,Société par actions simplifiée
Fonds de solidarité,VOLET2,4,4,8000.00,94,Corse,65,Société civile
Fonds de solidarité,VOLET2,6,5,36529.93,94,Corse,92,Association loi 1901 ou assimilé
Fonds de solidarité,VOLET2,463,451,1459557.67,44,Grand Est,10,Entrepreneur individuel
Fonds de solidarité,VOLET2,10,10,50000.00,44,Grand Est,52,Société en nom collectif
Fonds de solidarité,VOLET2,905,801,7438381.68,44,Grand Est,54,Société à responsabilité limitée (SARL)
Fonds de solidarité,VOLET2,4,4,15500.00,44,Grand Est,55,Société anonyme à conseil d'administration
Fonds de solidarité,VOLET2,573,514,3858033.56,44,Grand Est,57,Société par actions simplifiée
Fonds de solidarité,VOLET2,19,18,73860.00,44,Grand Est,65,Société civile
Fonds de solidarité,VOLET2,22,21,84543.00,44,Grand Est,92,Association loi 1901 ou assimilé
Fonds de solidarité,VOLET2,624,608,1709172.53,01,Guadeloupe,10,Entrepreneur individuel
Fonds de solidarité,VOLET2,319,276,2187024.31,01,Guadeloupe,54,Société à responsabilité limitée (SARL)
Fonds de solidarité,VOLET2,303,280,1137581.67,01,Guadeloupe,57,Société par actions simplifiée
Fonds de solidarité,VOLET2,9,9,21000.00,01,Guadeloupe,65,Société civile
Fonds de solidarité,VOLET2,22,19,55623.85,01,Guadeloupe,92,Association loi 1901 ou assimilé
Fonds de solidarité,VOLET2,531,517,2026889.17,03,Guyane,10,Entrepreneur individuel
Fonds de solidarité,VOLET2,205,191,1288625.38,03,Guyane,54,Société à responsabilité limitée (SARL)
Fonds de solidarité,VOLET2,290,275,1390741.02,03,Guyane,57,Société par actions simplifiée
Fonds de solidarité,VOLET2,8,8,25519.00,03,Guyane,65,Société civile
Fonds de solidarité,VOLET2,17,16,102133.23,03,Guyane,92,Association loi 1901 ou assimilé
Fonds de solidarité,VOLET2,833,775,2522695.54,32,Hauts-de-France,10,Entrepreneur individuel
Fonds de solidarité,VOLET2,8,7,46676.00,32,Hauts-de-France,52,Société en nom collectif
Fonds de solidarité,VOLET2,1183,955,9077098.85,32,Hauts-de-France,54,Société à responsabilité limitée (SARL)
Fonds de solidarité,VOLET2,817,660,5685763.42,32,Hauts-de-France,57,Société par actions simplifiée
Fonds de solidarité,VOLET2,7,7,17760.00,32,Hauts-de-France,65,Société civile
Fonds de solidarité,VOLET2,35,30,192679.05,32,Hauts-de-France,92,Association loi 1901 ou assimilé
Fonds de solidarité,VOLET2,10149,9793,29278930.99,11,Île-de-France,10,Entrepreneur individuel
Fonds de solidarité,VOLET2,3,3,15500.00,11,Île-de-France,22,Société créée de fait
Fonds de solidarité,VOLET2,53,52,441009.00,11,Île-de-France,52,Société en nom collectif
Fonds de solidarité,VOLET2,6925,6519,38531610.66,11,Île-de-France,54,Société à responsabilité limitée (SARL)
Fonds de solidarité,VOLET2,27,21,397400.20,11,Île-de-France,55,Société anonyme à conseil d'administration
Fonds de solidarité,VOLET2,6761,6360,31402151.20,11,Île-de-France,57,Société par actions simplifiée
Fonds de solidarité,VOLET2,68,62,197070.00,11,Île-de-France,65,Société civile
Fonds de solidarité,VOLET2,137,124,743941.77,11,Île-de-France,92,Association loi 1901 ou assimilé
Fonds de solidarité,VOLET2,156,156,374491.16,04,La Réunion,10,Entrepreneur individuel
Fonds de solidarité,VOLET2,197,197,845710.65,04,La Réunion,54,Société à responsabilité limitée (SARL)
Fonds de solidarité,VOLET2,61,60,470050.00,04,La Réunion,57,Société par actions simplifiée
Fonds de solidarité,VOLET2,6,6,14285.75,04,La Réunion,92,Association loi 1901 ou assimilé
Fonds de solidarité,VOLET2,193,189,530310.00,02,Martinique,10,Entrepreneur individuel
Fonds de solidarité,VOLET2,260,257,873089.81,02,Martinique,54,Société à responsabilité limitée (SARL)
Fonds de solidarité,VOLET2,197,192,563604.35,02,Martinique,57,Société par actions simplifiée
Fonds de solidarité,VOLET2,9,8,28421.00,02,Martinique,92,Association loi 1901 ou assimilé
Fonds de solidarité,VOLET2,217,213,935266.00,06,Mayotte,10,Entrepreneur individuel
Fonds de solidarité,VOLET2,48,47,224980.23,06,Mayotte,54,Société à responsabilité limitée (SARL)
Fonds de solidarité,VOLET2,9,9,48020.00,06,Mayotte,57,Société par actions simplifiée
Fonds de solidarité,VOLET2,301,287,1065336.70,28,Normandie,10,Entrepreneur individuel
Fonds de solidarité,VOLET2,554,480,4291216.19,28,Normandie,54,Société à responsabilité limitée (SARL)
Fonds de solidarité,VOLET2,335,281,3242440.00,28,Normandie,57,Société par actions simplifiée
Fonds de solidarité,VOLET2,11,11,47500.00,28,Normandie,65,Société civile
Fonds de solidarité,VOLET2,21,19,83683.00,28,Normandie,92,Association loi 1901 ou assimilé
Fonds de solidarité,VOLET2,457,440,1494763.96,75,Nouvelle-Aquitaine,10,Entrepreneur individuel
Fonds de solidarité,VOLET2,7,7,42254.00,75,Nouvelle-Aquitaine,52,Société en nom collectif
Fonds de solidarité,VOLET2,1310,1113,10936213.05,75,Nouvelle-Aquitaine,54,Société à responsabilité limitée (SARL)
Fonds de solidarité,VOLET2,691,608,5100613.98,75,Nouvelle-Aquitaine,57,Société par actions simplifiée
Fonds de solidarité,VOLET2,48,46,188578.00,75,Nouvelle-Aquitaine,65,Société civile
Fonds de solidarité,VOLET2,46,43,207625.77,75,Nouvelle-Aquitaine,92,Association loi 1901 ou assimilé
Fonds de solidarité,VOLET2,1046,978,3051950.57,76,Occitanie,10,Entrepreneur individuel
Fonds de solidarité,VOLET2,3,3,12702.00,76,Occitanie,22,Société créée de fait
Fonds de solidarité,VOLET2,6,5,22500.00,76,Occitanie,52,Société en nom collectif
Fonds de solidarité,VOLET2,1534,1323,11778274.14,76,Occitanie,54,Société à responsabilité limitée (SARL)
Fonds de solidarité,VOLET2,6,4,143007.00,76,Occitanie,55,Société anonyme à conseil d'administration
Fonds de solidarité,VOLET2,1098,941,7799142.44,76,Occitanie,57,Société par actions simplifiée
Fonds de solidarité,VOLET2,36,33,104206.00,76,Occitanie,65,Société civile
Fonds de solidarité,VOLET2,47,44,172585.23,76,Occitanie,92,Association loi 1901 ou assimilé
Fonds de solidarité,VOLET2,272,263,754247.00,52,Pays de la Loire,10,Entrepreneur individuel
Fonds de solidarité,VOLET2,4,4,9500.00,52,Pays de la Loire,52,Société en nom collectif
Fonds de solidarité,VOLET2,723,615,6408121.82,52,Pays de la Loire,54,Société à responsabilité limitée (SARL)
Fonds de solidarité,VOLET2,251,212,1701028.63,52,Pays de la Loire,57,Société par actions simplifiée
