dispositif,mois,nombre_demandes_deposees,nombre_salaries_concernes,nombre_heures_demandees,reg,libelle_region,code_section_nace17,libelle_section_nace17,date_maj
Activite Partielle,2020-03,625.00,1855.00,83455.00,84,Auvergne-Rhône-Alpes,AZ,"Agriculture, sylviculture et pêche",2020-10-27
Activite Partielle,2020-03,2485.00,12020.00,482940.00,84,Auvergne-Rhône-Alpes,C1,Fabr. de denrées alimentaires - boissons et prod. à base de tabac de boissons et de produits à base de tabac,2020-10-27
Activite Partielle,2020-03,1025.00,23295.00,923600.00,84,Auvergne-Rhône-Alpes,C3,Fabr. d'équipements ; fabrication de machines,2020-10-27
Activite Partielle,2020-03,250.00,15010.00,625170.00,84,Auvergne-Rhône-Alpes,C4,Fabrication de matériels de transport,2020-10-27
Activite Partielle,2020-03,7200.00,88025.00,3838800.00,84,Auvergne-Rhône-Alpes,C5,Fabrication d'autres produits indus.,2020-10-27
Activite Partielle,2020-03,790.00,5995.00,259525.00,84,Auvergne-Rhône-Alpes,DE,Industries extractives,2020-10-27
Activite Partielle,2020-03,18805.00,108590.00,5346905.00,84,Auvergne-Rhône-Alpes,FZ,Construction,2020-10-27
Activite Partielle,2020-03,30305.00,152845.00,7708125.00,84,Auvergne-Rhône-Alpes,GZ,Commerce,2020-10-27
Activite Partielle,2020-03,3895.00,49865.00,2151650.00,84,Auvergne-Rhône-Alpes,HZ,Transports et entreposage,2020-10-27
Activite Partielle,2020-03,18340.00,105490.00,5704130.00,84,Auvergne-Rhône-Alpes,IZ,Hébergement et restauration,2020-10-27
Activite Partielle,2020-03,1830.00,10985.00,455245.00,84,Auvergne-Rhône-Alpes,JZ,Information et communication,2020-10-27
Activite Partielle,2020-03,2910.00,9235.00,417910.00,84,Auvergne-Rhône-Alpes,KZ,Act. financières et d'assurance,2020-10-27
Activite Partielle,2020-03,2520.00,9005.00,439360.00,84,Auvergne-Rhône-Alpes,LZ,Activités immobilières,2020-10-27
Activite Partielle,2020-03,16715.00,131450.00,5121485.00,84,Auvergne-Rhône-Alpes,MN,Act. scientif. et tech. ; services admin. et de soutien,2020-10-27
Activite Partielle,2020-03,9290.00,56200.00,2111795.00,84,Auvergne-Rhône-Alpes,OQ,"Admin. publique - enseignement, santé humaine et action sociale",2020-10-27
Activite Partielle,2020-03,13065.00,53750.00,2431735.00,84,Auvergne-Rhône-Alpes,RU,Autres activités de services,2020-10-27
Activite Partielle,2020-04,780.00,2260.00,177725.00,84,Auvergne-Rhône-Alpes,AZ,"Agriculture, sylviculture et pêche",2020-10-27
Activite Partielle,2020-04,3305.00,17920.00,1570015.00,84,Auvergne-Rhône-Alpes,C1,Fabr. de denrées alimentaires - boissons et prod. à base de tabac de boissons et de produits à base de tabac,2020-10-27
Activite Partielle,2020-04,1220.00,32740.00,2418220.00,84,Auvergne-Rhône-Alpes,C3,Fabr. d'équipements ; fabrication de machines,2020-10-27
Activite Partielle,2020-04,285.00,18820.00,1657385.00,84,Auvergne-Rhône-Alpes,C4,Fabrication de matériels de transport,2020-10-27
Activite Partielle,2020-04,8260.00,114720.00,9897130.00,84,Auvergne-Rhône-Alpes,C5,Fabrication d'autres produits indus.,2020-10-27
Activite Partielle,2020-04,955.00,9225.00,743075.00,84,Auvergne-Rhône-Alpes,DE,Industries extractives,2020-10-27
Activite Partielle,2020-04,19850.00,125925.00,12214435.00,84,Auvergne-Rhône-Alpes,FZ,Construction,2020-10-27
Activite Partielle,2020-04,33970.00,187900.00,19968740.00,84,Auvergne-Rhône-Alpes,GZ,Commerce,2020-10-27
Activite Partielle,2020-04,4420.00,68420.00,5625005.00,84,Auvergne-Rhône-Alpes,HZ,Transports et entreposage,2020-10-27
Activite Partielle,2020-04,19220.00,112150.00,12983850.00,84,Auvergne-Rhône-Alpes,IZ,Hébergement et restauration,2020-10-27
Activite Partielle,2020-04,2480.00,19450.00,1648080.00,84,Auvergne-Rhône-Alpes,JZ,Information et communication,2020-10-27
Activite Partielle,2020-04,3835.00,13565.00,1287655.00,84,Auvergne-Rhône-Alpes,KZ,Act. financières et d'assurance,2020-10-27
Activite Partielle,2020-04,2955.00,12095.00,1217240.00,84,Auvergne-Rhône-Alpes,LZ,Activités immobilières,2020-10-27
Activite Partielle,2020-04,20055.00,154790.00,12540045.00,84,Auvergne-Rhône-Alpes,MN,Act. scientif. et tech. ; services admin. et de soutien,2020-10-27
