dispositif,nombre_reports,montant_total,reg,libelle_region,code_section,libelle_section,date_maj
Reports d'échéances fiscales,17.00,186297.00,84,Auvergne-Rhône-Alpes,A,"Agriculture, sylviculture et pêche",2020-07-09
Reports d'échéances fiscales,3.00,77620.00,84,Auvergne-Rhône-Alpes,B,Industries extractives,2020-07-09
Reports d'échéances fiscales,884.00,61278653.00,84,Auvergne-Rhône-Alpes,C,Industrie manufacturière,2020-07-09
Reports d'échéances fiscales,8.00,1174843.00,84,Auvergne-Rhône-Alpes,D,"Production et distribution d'électricité, de gaz, de vapeur et d'air conditionné",2020-07-09
Reports d'échéances fiscales,22.00,2474841.00,84,Auvergne-Rhône-Alpes,E,"Production et distribution d'eau ; assainissement, gestion des déchets et dépollution",2020-07-09
Reports d'échéances fiscales,882.00,23283389.00,84,Auvergne-Rhône-Alpes,F,Construction,2020-07-09
Reports d'échéances fiscales,1905.00,78578558.00,84,Auvergne-Rhône-Alpes,G,Commerce,2020-07-09
Reports d'échéances fiscales,209.00,9242214.00,84,Auvergne-Rhône-Alpes,H,Transports et entreposage,2020-07-09
Reports d'échéances fiscales,931.00,11668689.00,84,Auvergne-Rhône-Alpes,I,Hébergement et restauration,2020-07-09
Reports d'échéances fiscales,217.00,11020169.00,84,Auvergne-Rhône-Alpes,J,Information et communication,2020-07-09
Reports d'échéances fiscales,409.00,18762085.00,84,Auvergne-Rhône-Alpes,K,Activités financières et d'assurance,2020-07-09
Reports d'échéances fiscales,716.00,10944230.00,84,Auvergne-Rhône-Alpes,L,Activités immobilières,2020-07-09
Reports d'échéances fiscales,987.00,36277651.00,84,Auvergne-Rhône-Alpes,M,"Activités spécialisées, scientifiques et techniques",2020-07-09
Reports d'échéances fiscales,370.00,12094886.00,84,Auvergne-Rhône-Alpes,N,Activités de services administratifs et de soutien,2020-07-09
Reports d'échéances fiscales,120.00,1690487.00,84,Auvergne-Rhône-Alpes,P,Enseignement,2020-07-09
Reports d'échéances fiscales,329.00,10173246.00,84,Auvergne-Rhône-Alpes,Q,Santé humaine et action sociale,2020-07-09
Reports d'échéances fiscales,147.00,11120041.00,84,Auvergne-Rhône-Alpes,R,"Arts, spectacles et activités récréatives",2020-07-09
Reports d'échéances fiscales,193.00,2501824.00,84,Auvergne-Rhône-Alpes,S,Autres activités de services,2020-07-09
