dispositif,volet,nombre_aides,montant_total,reg,libelle_region,code_categorie_juridique,libelle_categorie_juridique
Fonds de solidarité,VOLET2,333,722677.00,84,Auvergne-Rhône-Alpes,10,Entrepreneur individuel
Fonds de solidarité,VOLET2,4,14000.00,84,Auvergne-Rhône-Alpes,52,Société en nom collectif
Fonds de solidarité,VOLET2,732,1936050.22,84,Auvergne-Rhône-Alpes,54,Société à responsabilité limitée (SARL)
Fonds de solidarité,VOLET2,4,12500.00,84,Auvergne-Rhône-Alpes,55,Société anonyme à conseil d'administration
Fonds de solidarité,VOLET2,465,1151408.27,84,Auvergne-Rhône-Alpes,57,Société par actions simplifiée
Fonds de solidarité,VOLET2,11,25000.00,84,Auvergne-Rhône-Alpes,65,Société civile
Fonds de solidarité,VOLET2,19,40093.58,84,Auvergne-Rhône-Alpes,92,Association loi 1901 ou assimilé
Fonds de solidarité,VOLET2,85,192455.66,27,Bourgogne-Franche-Comté,10,Entrepreneur individuel
Fonds de solidarité,VOLET2,223,624181.77,27,Bourgogne-Franche-Comté,54,Société à responsabilité limitée (SARL)
Fonds de solidarité,VOLET2,87,215245.00,27,Bourgogne-Franche-Comté,57,Société par actions simplifiée
Fonds de solidarité,VOLET2,5,11500.00,27,Bourgogne-Franche-Comté,92,Association loi 1901 ou assimilé
Fonds de solidarité,VOLET2,149,332500.00,53,Bretagne,10,Entrepreneur individuel
Fonds de solidarité,VOLET2,6,16500.00,53,Bretagne,52,Société en nom collectif
Fonds de solidarité,VOLET2,364,1021145.00,53,Bretagne,54,Société à responsabilité limitée (SARL)
Fonds de solidarité,VOLET2,106,265433.00,53,Bretagne,57,Société par actions simplifiée
Fonds de solidarité,VOLET2,7,15350.00,53,Bretagne,65,Société civile
Fonds de solidarité,VOLET2,5,11393.00,53,Bretagne,92,Association loi 1901 ou assimilé
Fonds de solidarité,VOLET2,117,256500.00,24,Centre-Val de Loire,10,Entrepreneur individuel
Fonds de solidarité,VOLET2,267,728068.33,24,Centre-Val de Loire,54,Société à responsabilité limitée (SARL)
Fonds de solidarité,VOLET2,131,311253.26,24,Centre-Val de Loire,57,Société par actions simplifiée
Fonds de solidarité,VOLET2,7,17000.00,24,Centre-Val de Loire,65,Société civile
Fonds de solidarité,VOLET2,4,8000.00,24,Centre-Val de Loire,92,Association loi 1901 ou assimilé
Fonds de solidarité,VOLET2,48,117000.00,94,Corse,10,Entrepreneur individuel
Fonds de solidarité,VOLET2,89,250336.66,94,Corse,54,Société à responsabilité limitée (SARL)
Fonds de solidarité,VOLET2,68,176500.00,94,Corse,57,Société par actions simplifiée
Fonds de solidarité,VOLET2,162,348000.00,44,Grand Est,10,Entrepreneur individuel
Fonds de solidarité,VOLET2,350,932187.00,44,Grand Est,54,Société à responsabilité limitée (SARL)
Fonds de solidarité,VOLET2,3,12000.00,44,Grand Est,55,Société anonyme à conseil d'administration
Fonds de solidarité,VOLET2,275,671902.00,44,Grand Est,57,Société par actions simplifiée
Fonds de solidarité,VOLET2,7,17000.00,44,Grand Est,65,Société civile
Fonds de solidarité,VOLET2,10,21500.00,44,Grand Est,92,Association loi 1901 ou assimilé
Fonds de solidarité,VOLET2,142,301700.00,01,Guadeloupe,10,Entrepreneur individuel
Fonds de solidarité,VOLET2,158,422500.00,01,Guadeloupe,54,Société à responsabilité limitée (SARL)
Fonds de solidarité,VOLET2,126,302495.14,01,Guadeloupe,57,Société par actions simplifiée
Fonds de solidarité,VOLET2,12,25500.00,01,Guadeloupe,92,Association loi 1901 ou assimilé
Fonds de solidarité,VOLET2,15,31500.00,03,Guyane,10,Entrepreneur individuel
Fonds de solidarité,VOLET2,17,52000.00,03,Guyane,54,Société à responsabilité limitée (SARL)
Fonds de solidarité,VOLET2,20,46000.00,03,Guyane,57,Société par actions simplifiée
Fonds de solidarité,VOLET2,174,417106.74,32,Hauts-de-France,10,Entrepreneur individuel
Fonds de solidarité,VOLET2,3,9000.00,32,Hauts-de-France,52,Société en nom collectif
Fonds de solidarité,VOLET2,385,1078723.58,32,Hauts-de-France,54,Société à responsabilité limitée (SARL)
Fonds de solidarité,VOLET2,259,683560.00,32,Hauts-de-France,57,Société par actions simplifiée
Fonds de solidarité,VOLET2,4,8000.00,32,Hauts-de-France,65,Société civile
Fonds de solidarité,VOLET2,13,33000.00,32,Hauts-de-France,92,Association loi 1901 ou assimilé
Fonds de solidarité,VOLET2,1794,3724000.00,11,Île-de-France,10,Entrepreneur individuel
Fonds de solidarité,VOLET2,10,30500.00,11,Île-de-France,52,Société en nom collectif
Fonds de solidarité,VOLET2,2783,7319449.03,11,Île-de-France,54,Société à responsabilité limitée (SARL)
Fonds de solidarité,VOLET2,9,34500.00,11,Île-de-France,55,Société anonyme à conseil d'administration
Fonds de solidarité,VOLET2,2842,6851516.41,11,Île-de-France,57,Société par actions simplifiée
Fonds de solidarité,VOLET2,41,106000.00,11,Île-de-France,65,Société civile
Fonds de solidarité,VOLET2,45,100500.00,11,Île-de-France,92,Association loi 1901 ou assimilé
Fonds de solidarité,VOLET2,89,187000.00,02,Martinique,10,Entrepreneur individuel
Fonds de solidarité,VOLET2,191,510500.00,02,Martinique,54,Société à responsabilité limitée (SARL)
Fonds de solidarité,VOLET2,136,331984.00,02,Martinique,57,Société par actions simplifiée
Fonds de solidarité,VOLET2,4,8000.00,02,Martinique,92,Association loi 1901 ou assimilé
Fonds de solidarité,VOLET2,157,351060.00,28,Normandie,10,Entrepreneur individuel
Fonds de solidarité,VOLET2,284,734984.60,28,Normandie,54,Société à responsabilité limitée (SARL)
Fonds de solidarité,VOLET2,156,372000.00,28,Normandie,57,Société par actions simplifiée
Fonds de solidarité,VOLET2,6,13500.00,28,Normandie,65,Société civile
Fonds de solidarité,VOLET2,14,34000.00,28,Normandie,92,Association loi 1901 ou assimilé
Fonds de solidarité,VOLET2,289,635000.00,75,Nouvelle-Aquitaine,10,Entrepreneur individuel
Fonds de solidarité,VOLET2,713,1930529.03,75,Nouvelle-Aquitaine,54,Société à responsabilité limitée (SARL)
Fonds de solidarité,VOLET2,407,1037748.79,75,Nouvelle-Aquitaine,57,Société par actions simplifiée
Fonds de solidarité,VOLET2,30,81000.00,75,Nouvelle-Aquitaine,65,Société civile
Fonds de solidarité,VOLET2,19,44000.00,75,Nouvelle-Aquitaine,92,Association loi 1901 ou assimilé
Fonds de solidarité,VOLET2,301,656000.00,76,Occitanie,10,Entrepreneur individuel
Fonds de solidarité,VOLET2,4,14000.00,76,Occitanie,52,Société en nom collectif
Fonds de solidarité,VOLET2,689,1867782.61,76,Occitanie,54,Société à responsabilité limitée (SARL)
Fonds de solidarité,VOLET2,493,1213196.22,76,Occitanie,57,Société par actions simplifiée
