dispositif,nombre_demandes_deposees,nombre_salaries_concernes,nombre_heures_demandees,reg,libelle_region,code_section_nace17,libelle_section_nace17,date_maj
Activite Partielle,2495.00,6415.00,389885.00,84,Auvergne-Rhône-Alpes,AZ,"Agriculture, sylviculture et pêche",2020-10-27
Activite Partielle,11745.00,58215.00,3737155.00,84,Auvergne-Rhône-Alpes,C1,Fabr. de denrées alimentaires - boissons et prod. à base de tabac de boissons et de produits à base de tabac,2020-10-27
Activite Partielle,5195.00,111860.00,5745590.00,84,Auvergne-Rhône-Alpes,C3,Fabr. d'équipements ; fabrication de machines,2020-10-27
Activite Partielle,1160.00,67270.00,4010130.00,84,Auvergne-Rhône-Alpes,C4,Fabrication de matériels de transport,2020-10-27
Activite Partielle,32935.00,400850.00,23171640.00,84,Auvergne-Rhône-Alpes,C5,Fabrication d'autres produits indus.,2020-10-27
Activite Partielle,3080.00,23770.00,1446425.00,84,Auvergne-Rhône-Alpes,DE,Industries extractives,2020-10-27
Activite Partielle,58990.00,310910.00,21968455.00,84,Auvergne-Rhône-Alpes,FZ,Construction,2020-10-27
Activite Partielle,114975.00,561695.00,39316770.00,84,Auvergne-Rhône-Alpes,GZ,Commerce,2020-10-27
Activite Partielle,16720.00,205805.00,12229320.00,84,Auvergne-Rhône-Alpes,HZ,Transports et entreposage,2020-10-27
Activite Partielle,80515.00,414445.00,33495340.00,84,Auvergne-Rhône-Alpes,IZ,Hébergement et restauration,2020-10-27
Activite Partielle,10185.00,72070.00,4660260.00,84,Auvergne-Rhône-Alpes,JZ,Information et communication,2020-10-27
Activite Partielle,12720.00,45475.00,3030320.00,84,Auvergne-Rhône-Alpes,KZ,Act. financières et d'assurance,2020-10-27
Activite Partielle,9500.00,34410.00,2357640.00,84,Auvergne-Rhône-Alpes,LZ,Activités immobilières,2020-10-27
Activite Partielle,73820.00,507320.00,29983525.00,84,Auvergne-Rhône-Alpes,MN,Act. scientif. et tech. ; services admin. et de soutien,2020-10-27
Activite Partielle,37555.00,214885.00,11166380.00,84,Auvergne-Rhône-Alpes,OQ,"Admin. publique - enseignement, santé humaine et action sociale",2020-10-27
Activite Partielle,56335.00,230295.00,14420115.00,84,Auvergne-Rhône-Alpes,RU,Autres activités de services,2020-10-27
Activite Partielle,1480.00,3755.00,247380.00,27,Bourgogne-Franche-Comté,AZ,"Agriculture, sylviculture et pêche",2020-10-27
Activite Partielle,4120.00,20825.00,1274355.00,27,Bourgogne-Franche-Comté,C1,Fabr. de denrées alimentaires - boissons et prod. à base de tabac de boissons et de produits à base de tabac,2020-10-27
Activite Partielle,5.00,45.00,2915.00,27,Bourgogne-Franche-Comté,C2,Cokéfaction et raffinage,2020-10-27
Activite Partielle,1455.00,33830.00,1847500.00,27,Bourgogne-Franche-Comté,C3,Fabr. d'équipements ; fabrication de machines,2020-10-27
