dispositif,mois,nombre_demandes_deposees,nombre_salaries_concernes,nombre_heures_demandees,reg,libelle_region,code_section_nace17,libelle_section_nace17,date_maj
Activite Partielle,2020-03,615.00,1830.00,82040.00,84,Auvergne-Rhône-Alpes,AZ,"Agriculture, sylviculture et pêche",2020-11-10
Activite Partielle,2020-03,2480.00,11995.00,481125.00,84,Auvergne-Rhône-Alpes,C1,Fabr. de denrées alimentaires - boissons et prod. à base de tabac de boissons et de produits à base de tabac,2020-11-10
Activite Partielle,2020-03,1015.00,22815.00,901140.00,84,Auvergne-Rhône-Alpes,C3,Fabr. d'équipements ; fabrication de machines,2020-11-10
Activite Partielle,2020-03,250.00,15010.00,625170.00,84,Auvergne-Rhône-Alpes,C4,Fabrication de matériels de transport,2020-11-10
Activite Partielle,2020-03,7110.00,86800.00,3784940.00,84,Auvergne-Rhône-Alpes,C5,Fabrication d'autres produits indus.,2020-11-10
Activite Partielle,2020-03,790.00,5995.00,258305.00,84,Auvergne-Rhône-Alpes,DE,Industries extractives,2020-11-10
Activite Partielle,2020-03,18790.00,108455.00,5336475.00,84,Auvergne-Rhône-Alpes,FZ,Construction,2020-11-10
Activite Partielle,2020-03,30290.00,152830.00,7705000.00,84,Auvergne-Rhône-Alpes,GZ,Commerce,2020-11-10
Activite Partielle,2020-03,3890.00,49710.00,2143495.00,84,Auvergne-Rhône-Alpes,HZ,Transports et entreposage,2020-11-10
Activite Partielle,2020-03,18335.00,105500.00,5701910.00,84,Auvergne-Rhône-Alpes,IZ,Hébergement et restauration,2020-11-10
Activite Partielle,2020-03,1825.00,10965.00,454110.00,84,Auvergne-Rhône-Alpes,JZ,Information et communication,2020-11-10
Activite Partielle,2020-03,2910.00,9265.00,418915.00,84,Auvergne-Rhône-Alpes,KZ,Act. financières et d'assurance,2020-11-10
Activite Partielle,2020-03,2520.00,9020.00,440005.00,84,Auvergne-Rhône-Alpes,LZ,Activités immobilières,2020-11-10
Activite Partielle,2020-03,16700.00,131615.00,5122640.00,84,Auvergne-Rhône-Alpes,MN,Act. scientif. et tech. ; services admin. et de soutien,2020-11-10
Activite Partielle,2020-03,9305.00,56320.00,2113565.00,84,Auvergne-Rhône-Alpes,OQ,"Admin. publique - enseignement, santé humaine et action sociale",2020-11-10
Activite Partielle,2020-03,13070.00,53725.00,2429510.00,84,Auvergne-Rhône-Alpes,RU,Autres activités de services,2020-11-10
Activite Partielle,2020-04,755.00,2205.00,176265.00,84,Auvergne-Rhône-Alpes,AZ,"Agriculture, sylviculture et pêche",2020-11-10
Activite Partielle,2020-04,3210.00,17705.00,1565690.00,84,Auvergne-Rhône-Alpes,C1,Fabr. de denrées alimentaires - boissons et prod. à base de tabac de boissons et de produits à base de tabac,2020-11-10
Activite Partielle,2020-04,1205.00,32320.00,2392205.00,84,Auvergne-Rhône-Alpes,C3,Fabr. d'équipements ; fabrication de machines,2020-11-10
Activite Partielle,2020-04,285.00,18820.00,1658170.00,84,Auvergne-Rhône-Alpes,C4,Fabrication de matériels de transport,2020-11-10
Activite Partielle,2020-04,8115.00,113660.00,9837465.00,84,Auvergne-Rhône-Alpes,C5,Fabrication d'autres produits indus.,2020-11-10
Activite Partielle,2020-04,955.00,9235.00,746070.00,84,Auvergne-Rhône-Alpes,DE,Industries extractives,2020-11-10
Activite Partielle,2020-04,19655.00,125155.00,12190815.00,84,Auvergne-Rhône-Alpes,FZ,Construction,2020-11-10
Activite Partielle,2020-04,33350.00,186520.00,19987560.00,84,Auvergne-Rhône-Alpes,GZ,Commerce,2020-11-10
Activite Partielle,2020-04,4390.00,68230.00,5621180.00,84,Auvergne-Rhône-Alpes,HZ,Transports et entreposage,2020-11-10
Activite Partielle,2020-04,18895.00,111105.00,12968285.00,84,Auvergne-Rhône-Alpes,IZ,Hébergement et restauration,2020-11-10
Activite Partielle,2020-04,2465.00,19315.00,1634550.00,84,Auvergne-Rhône-Alpes,JZ,Information et communication,2020-11-10
Activite Partielle,2020-04,3795.00,13565.00,1291585.00,84,Auvergne-Rhône-Alpes,KZ,Act. financières et d'assurance,2020-11-10
Activite Partielle,2020-04,2935.00,12090.00,1219845.00,84,Auvergne-Rhône-Alpes,LZ,Activités immobilières,2020-11-10
Activite Partielle,2020-04,19815.00,154830.00,12602465.00,84,Auvergne-Rhône-Alpes,MN,Act. scientif. et tech. ; services admin. et de soutien,2020-11-10
Activite Partielle,2020-04,10555.00,67760.00,5171090.00,84,Auvergne-Rhône-Alpes,OQ,"Admin. publique - enseignement, santé humaine et action sociale",2020-11-10
Activite Partielle,2020-04,14995.00,64190.00,6095205.00,84,Auvergne-Rhône-Alpes,RU,Autres activités de services,2020-11-10
Activite Partielle,2020-05,665.00,1445.00,80630.00,84,Auvergne-Rhône-Alpes,AZ,"Agriculture, sylviculture et pêche",2020-11-10
Activite Partielle,2020-05,3240.00,16935.00,1020960.00,84,Auvergne-Rhône-Alpes,C1,Fabr. de denrées alimentaires - boissons et prod. à base de tabac de boissons et de produits à base de tabac,2020-11-10
Activite Partielle,2020-05,1215.00,25890.00,1221160.00,84,Auvergne-Rhône-Alpes,C3,Fabr. d'équipements ; fabrication de machines,2020-11-10
Activite Partielle,2020-05,265.00,15835.00,914610.00,84,Auvergne-Rhône-Alpes,C4,Fabrication de matériels de transport,2020-11-10
Activite Partielle,2020-05,7620.00,89355.00,4760250.00,84,Auvergne-Rhône-Alpes,C5,Fabrication d'autres produits indus.,2020-11-10
Activite Partielle,2020-05,790.00,6350.00,316990.00,84,Auvergne-Rhône-Alpes,DE,Industries extractives,2020-11-10
Activite Partielle,2020-05,13800.00,59210.00,3251440.00,84,Auvergne-Rhône-Alpes,FZ,Construction,2020-11-10
Activite Partielle,2020-05,30380.00,147880.00,7816040.00,84,Auvergne-Rhône-Alpes,GZ,Commerce,2020-11-10
Activite Partielle,2020-05,4010.00,50070.00,2555130.00,84,Auvergne-Rhône-Alpes,HZ,Transports et entreposage,2020-11-10
Activite Partielle,2020-05,17285.00,89365.00,8209485.00,84,Auvergne-Rhône-Alpes,IZ,Hébergement et restauration,2020-11-10
Activite Partielle,2020-05,2440.00,18710.00,1175875.00,84,Auvergne-Rhône-Alpes,JZ,Information et communication,2020-11-10
Activite Partielle,2020-05,3495.00,12490.00,727845.00,84,Auvergne-Rhône-Alpes,KZ,Act. financières et d'assurance,2020-11-10
Activite Partielle,2020-05,2690.00,10290.00,498140.00,84,Auvergne-Rhône-Alpes,LZ,Activités immobilières,2020-11-10
Activite Partielle,2020-05,17990.00,121775.00,6563935.00,84,Auvergne-Rhône-Alpes,MN,Act. scientif. et tech. ; services admin. et de soutien,2020-11-10
Activite Partielle,2020-05,10230.00,60525.00,2597550.00,84,Auvergne-Rhône-Alpes,OQ,"Admin. publique - enseignement, santé humaine et action sociale",2020-11-10
Activite Partielle,2020-05,14480.00,58770.00,3224670.00,84,Auvergne-Rhône-Alpes,RU,Autres activités de services,2020-11-10
Activite Partielle,2020-06,245.00,430.00,27135.00,84,Auvergne-Rhône-Alpes,AZ,"Agriculture, sylviculture et pêche",2020-11-10
Activite Partielle,2020-06,1485.00,6615.00,403795.00,84,Auvergne-Rhône-Alpes,C1,Fabr. de denrées alimentaires - boissons et prod. à base de tabac de boissons et de produits à base de tabac,2020-11-10
Activite Partielle,2020-06,780.00,14235.00,620690.00,84,Auvergne-Rhône-Alpes,C3,Fabr. d'équipements ; fabrication de machines,2020-11-10
Activite Partielle,2020-06,160.00,10120.00,531290.00,84,Auvergne-Rhône-Alpes,C4,Fabrication de matériels de transport,2020-11-10
Activite Partielle,2020-06,4420.00,51950.00,2416755.00,84,Auvergne-Rhône-Alpes,C5,Fabrication d'autres produits indus.,2020-11-10
Activite Partielle,2020-06,335.00,1445.00,74585.00,84,Auvergne-Rhône-Alpes,DE,Industries extractives,2020-11-10
Activite Partielle,2020-06,4025.00,11235.00,736615.00,84,Auvergne-Rhône-Alpes,FZ,Construction,2020-11-10
Activite Partielle,2020-06,11480.00,43700.00,2315245.00,84,Auvergne-Rhône-Alpes,GZ,Commerce,2020-11-10
