dispositif,volet,nombre_aides,montant_total,reg,libelle_region,classe_effectif,libelle_classe_effectif
Fonds de solidarité,VOLET2,162,358316.00,84,Auvergne-Rhône-Alpes,00,0 salarié
Fonds de solidarité,VOLET2,890,2559892.01,84,Auvergne-Rhône-Alpes,01,1 ou 2 salariés
Fonds de solidarité,VOLET2,370,1399326.69,84,Auvergne-Rhône-Alpes,02,3 à 5 salariés
Fonds de solidarité,VOLET2,99,431482.09,84,Auvergne-Rhône-Alpes,03,6 à 9 salariés
Fonds de solidarité,VOLET2,23,144500.00,84,Auvergne-Rhône-Alpes,11,10 à 19 salariés
Fonds de solidarité,VOLET2,5,25500.00,84,Auvergne-Rhône-Alpes,12,20 à 49 salariés
Fonds de solidarité,VOLET2,30,60000.00,84,Auvergne-Rhône-Alpes,NN,Etablissement non employeur
Fonds de solidarité,VOLET2,54,129428.41,27,Bourgogne-Franche-Comté,00,0 salarié
Fonds de solidarité,VOLET2,329,1069996.74,27,Bourgogne-Franche-Comté,01,1 ou 2 salariés
Fonds de solidarité,VOLET2,135,557891.77,27,Bourgogne-Franche-Comté,02,3 à 5 salariés
Fonds de solidarité,VOLET2,32,152120.00,27,Bourgogne-Franche-Comté,03,6 à 9 salariés
Fonds de solidarité,VOLET2,6,32000.00,27,Bourgogne-Franche-Comté,11,10 à 19 salariés
Fonds de solidarité,VOLET2,15,38000.00,27,Bourgogne-Franche-Comté,NN,Etablissement non employeur
Fonds de solidarité,VOLET2,99,264152.38,53,Bretagne,00,0 salarié
Fonds de solidarité,VOLET2,414,1272472.14,53,Bretagne,01,1 ou 2 salariés
Fonds de solidarité,VOLET2,145,621119.72,53,Bretagne,02,3 à 5 salariés
Fonds de solidarité,VOLET2,46,231045.00,53,Bretagne,03,6 à 9 salariés
Fonds de solidarité,VOLET2,15,99716.00,53,Bretagne,11,10 à 19 salariés
Fonds de solidarité,VOLET2,15,32621.00,53,Bretagne,NN,Etablissement non employeur
Fonds de solidarité,VOLET2,48,117500.00,24,Centre-Val de Loire,00,0 salarié
Fonds de solidarité,VOLET2,322,935504.07,24,Centre-Val de Loire,01,1 ou 2 salariés
Fonds de solidarité,VOLET2,116,468348.00,24,Centre-Val de Loire,02,3 à 5 salariés
Fonds de solidarité,VOLET2,38,190233.00,24,Centre-Val de Loire,03,6 à 9 salariés
Fonds de solidarité,VOLET2,7,57000.00,24,Centre-Val de Loire,11,10 à 19 salariés
Fonds de solidarité,VOLET2,18,45500.00,24,Centre-Val de Loire,NN,Etablissement non employeur
Fonds de solidarité,VOLET2,32,79000.00,94,Corse,00,0 salarié
Fonds de solidarité,VOLET2,114,303336.66,94,Corse,01,1 ou 2 salariés
Fonds de solidarité,VOLET2,50,152500.00,94,Corse,02,3 à 5 salariés
Fonds de solidarité,VOLET2,12,46500.00,94,Corse,03,6 à 9 salariés
Fonds de solidarité,VOLET2,3,12000.00,94,Corse,11,10 à 19 salariés
Fonds de solidarité,VOLET2,13,26000.00,94,Corse,NN,Etablissement non employeur
Fonds de solidarité,VOLET2,101,270748.00,44,Grand Est,00,0 salarié
Fonds de solidarité,VOLET2,527,1639546.26,44,Grand Est,01,1 ou 2 salariés
Fonds de solidarité,VOLET2,210,1027347.11,44,Grand Est,02,3 à 5 salariés
Fonds de solidarité,VOLET2,71,383474.00,44,Grand Est,03,6 à 9 salariés
Fonds de solidarité,VOLET2,26,170500.00,44,Grand Est,11,10 à 19 salariés
