dispositif,nombre_reports,montant_total,reg,libelle_region,code_section,libelle_section,date_maj
Reports d'échéances fiscales,17.00,187279.00,84,Auvergne-Rhône-Alpes,A,"Agriculture, sylviculture et pêche",2020-10-08
Reports d'échéances fiscales,3.00,77620.00,84,Auvergne-Rhône-Alpes,B,Industries extractives,2020-10-08
Reports d'échéances fiscales,903.00,66142643.00,84,Auvergne-Rhône-Alpes,C,Industrie manufacturière,2020-10-08
Reports d'échéances fiscales,9.00,1708329.00,84,Auvergne-Rhône-Alpes,D,"Production et distribution d'électricité, de gaz, de vapeur et d'air conditionné",2020-10-08
Reports d'échéances fiscales,24.00,2561571.00,84,Auvergne-Rhône-Alpes,E,"Production et distribution d'eau ; assainissement, gestion des déchets et dépollution",2020-10-08
Reports d'échéances fiscales,877.00,24113927.00,84,Auvergne-Rhône-Alpes,F,Construction,2020-10-08
Reports d'échéances fiscales,1925.00,84534534.00,84,Auvergne-Rhône-Alpes,G,Commerce,2020-10-08
Reports d'échéances fiscales,217.00,9533524.00,84,Auvergne-Rhône-Alpes,H,Transports et entreposage,2020-10-08
Reports d'échéances fiscales,952.00,12028616.00,84,Auvergne-Rhône-Alpes,I,Hébergement et restauration,2020-10-08
Reports d'échéances fiscales,221.00,14759946.00,84,Auvergne-Rhône-Alpes,J,Information et communication,2020-10-08
Reports d'échéances fiscales,412.00,18900304.00,84,Auvergne-Rhône-Alpes,K,Activités financières et d'assurance,2020-10-08
Reports d'échéances fiscales,695.00,11041562.00,84,Auvergne-Rhône-Alpes,L,Activités immobilières,2020-10-08
Reports d'échéances fiscales,990.00,44313354.00,84,Auvergne-Rhône-Alpes,M,"Activités spécialisées, scientifiques et techniques",2020-10-08
Reports d'échéances fiscales,367.00,12388582.00,84,Auvergne-Rhône-Alpes,N,Activités de services administratifs et de soutien,2020-10-08
Reports d'échéances fiscales,119.00,1719709.00,84,Auvergne-Rhône-Alpes,P,Enseignement,2020-10-08
Reports d'échéances fiscales,329.00,10341835.00,84,Auvergne-Rhône-Alpes,Q,Santé humaine et action sociale,2020-10-08
Reports d'échéances fiscales,147.00,11402898.00,84,Auvergne-Rhône-Alpes,R,"Arts, spectacles et activités récréatives",2020-10-08
Reports d'échéances fiscales,192.00,2520189.00,84,Auvergne-Rhône-Alpes,S,Autres activités de services,2020-10-08
Reports d'échéances fiscales,59.00,679217.00,84,Auvergne-Rhône-Alpes,Z,Non connu,2020-10-08
Reports d'échéances fiscales,28.00,487451.00,27,Bourgogne-Franche-Comté,A,"Agriculture, sylviculture et pêche",2020-10-08
Reports d'échéances fiscales,281.00,28142720.00,27,Bourgogne-Franche-Comté,C,Industrie manufacturière,2020-10-08
Reports d'échéances fiscales,6.00,121449.00,27,Bourgogne-Franche-Comté,E,"Production et distribution d'eau ; assainissement, gestion des déchets et dépollution",2020-10-08
Reports d'échéances fiscales,182.00,2544084.00,27,Bourgogne-Franche-Comté,F,Construction,2020-10-08
Reports d'échéances fiscales,541.00,17243834.00,27,Bourgogne-Franche-Comté,G,Commerce,2020-10-08
Reports d'échéances fiscales,83.00,2102895.00,27,Bourgogne-Franche-Comté,H,Transports et entreposage,2020-10-08
Reports d'échéances fiscales,302.00,1896752.00,27,Bourgogne-Franche-Comté,I,Hébergement et restauration,2020-10-08
Reports d'échéances fiscales,25.00,929885.00,27,Bourgogne-Franche-Comté,J,Information et communication,2020-10-08
Reports d'échéances fiscales,68.00,2719282.00,27,Bourgogne-Franche-Comté,K,Activités financières et d'assurance,2020-10-08
Reports d'échéances fiscales,184.00,2374692.00,27,Bourgogne-Franche-Comté,L,Activités immobilières,2020-10-08
Reports d'échéances fiscales,195.00,3480721.00,27,Bourgogne-Franche-Comté,M,"Activités spécialisées, scientifiques et techniques",2020-10-08
Reports d'échéances fiscales,66.00,1534540.00,27,Bourgogne-Franche-Comté,N,Activités de services administratifs et de soutien,2020-10-08
Reports d'échéances fiscales,14.00,42227.00,27,Bourgogne-Franche-Comté,P,Enseignement,2020-10-08
Reports d'échéances fiscales,90.00,3021139.00,27,Bourgogne-Franche-Comté,Q,Santé humaine et action sociale,2020-10-08
Reports d'échéances fiscales,43.00,4690431.00,27,Bourgogne-Franche-Comté,R,"Arts, spectacles et activités récréatives",2020-10-08
Reports d'échéances fiscales,68.00,276397.00,27,Bourgogne-Franche-Comté,S,Autres activités de services,2020-10-08
Reports d'échéances fiscales,35.00,401251.00,27,Bourgogne-Franche-Comté,Z,Non connu,2020-10-08
