dispositif,volet,nombre_aides,montant_total,reg,libelle_region,classe_effectif,libelle_classe_effectif
Fonds de solidarité,VOLET2,244,685718.00,84,Auvergne-Rhône-Alpes,00,0 salarié
Fonds de solidarité,VOLET2,1235,4845109.09,84,Auvergne-Rhône-Alpes,01,1 ou 2 salariés
Fonds de solidarité,VOLET2,515,3250900.91,84,Auvergne-Rhône-Alpes,02,3 à 5 salariés
Fonds de solidarité,VOLET2,161,1330311.64,84,Auvergne-Rhône-Alpes,03,6 à 9 salariés
Fonds de solidarité,VOLET2,49,552948.82,84,Auvergne-Rhône-Alpes,11,10 à 19 salariés
Fonds de solidarité,VOLET2,12,145500.00,84,Auvergne-Rhône-Alpes,12,20 à 49 salariés
Fonds de solidarité,VOLET2,61,131000.00,84,Auvergne-Rhône-Alpes,NN,Etablissement non employeur
Fonds de solidarité,VOLET2,75,238562.09,27,Bourgogne-Franche-Comté,00,0 salarié
Fonds de solidarité,VOLET2,413,1979077.70,27,Bourgogne-Franche-Comté,01,1 ou 2 salariés
Fonds de solidarité,VOLET2,181,1240148.88,27,Bourgogne-Franche-Comté,02,3 à 5 salariés
Fonds de solidarité,VOLET2,50,521341.00,27,Bourgogne-Franche-Comté,03,6 à 9 salariés
Fonds de solidarité,VOLET2,13,233391.00,27,Bourgogne-Franche-Comté,11,10 à 19 salariés
Fonds de solidarité,VOLET2,21,51500.00,27,Bourgogne-Franche-Comté,NN,Etablissement non employeur
Fonds de solidarité,VOLET2,129,612901.38,53,Bretagne,00,0 salarié
Fonds de solidarité,VOLET2,496,2288320.64,53,Bretagne,01,1 ou 2 salariés
Fonds de solidarité,VOLET2,216,2034794.00,53,Bretagne,02,3 à 5 salariés
Fonds de solidarité,VOLET2,82,1379826.00,53,Bretagne,03,6 à 9 salariés
Fonds de solidarité,VOLET2,29,514547.16,53,Bretagne,11,10 à 19 salariés
Fonds de solidarité,VOLET2,4,97000.00,53,Bretagne,12,20 à 49 salariés
Fonds de solidarité,VOLET2,23,48621.00,53,Bretagne,NN,Etablissement non employeur
Fonds de solidarité,VOLET2,64,212906.00,24,Centre-Val de Loire,00,0 salarié
Fonds de solidarité,VOLET2,389,1601015.99,24,Centre-Val de Loire,01,1 ou 2 salariés
Fonds de solidarité,VOLET2,155,1021315.24,24,Centre-Val de Loire,02,3 à 5 salariés
Fonds de solidarité,VOLET2,64,739653.59,24,Centre-Val de Loire,03,6 à 9 salariés
Fonds de solidarité,VOLET2,17,250640.00,24,Centre-Val de Loire,11,10 à 19 salariés
Fonds de solidarité,VOLET2,4,87392.04,24,Centre-Val de Loire,12,20 à 49 salariés
Fonds de solidarité,VOLET2,21,51500.00,24,Centre-Val de Loire,NN,Etablissement non employeur
Fonds de solidarité,VOLET2,51,143669.13,94,Corse,00,0 salarié
Fonds de solidarité,VOLET2,144,472941.56,94,Corse,01,1 ou 2 salariés
Fonds de solidarité,VOLET2,63,246248.00,94,Corse,02,3 à 5 salariés
Fonds de solidarité,VOLET2,13,56500.00,94,Corse,03,6 à 9 salariés
Fonds de solidarité,VOLET2,4,22000.00,94,Corse,11,10 à 19 salariés
Fonds de solidarité,VOLET2,19,38000.00,94,Corse,NN,Etablissement non employeur
Fonds de solidarité,VOLET2,147,566991.72,44,Grand Est,00,0 salarié
Fonds de solidarité,VOLET2,723,3051457.43,44,Grand Est,01,1 ou 2 salariés
Fonds de solidarité,VOLET2,339,2509450.94,44,Grand Est,02,3 à 5 salariés
Fonds de solidarité,VOLET2,124,1416470.71,44,Grand Est,03,6 à 9 salariés
Fonds de solidarité,VOLET2,44,617555.00,44,Grand Est,11,10 à 19 salariés
Fonds de solidarité,VOLET2,5,86000.00,44,Grand Est,12,20 à 49 salariés
Fonds de solidarité,VOLET2,36,87982.00,44,Grand Est,NN,Etablissement non employeur
