dispositif,volet,nombre_aides,montant_total,reg,libelle_region,classe_effectif,libelle_classe_effectif
Fonds de solidarité,VOLET1,55267,111032547.00,84,Auvergne-Rhône-Alpes,00,0 salarié
Fonds de solidarité,VOLET1,134141,309867407.00,84,Auvergne-Rhône-Alpes,01,1 ou 2 salariés
Fonds de solidarité,VOLET1,48596,138022004.00,84,Auvergne-Rhône-Alpes,02,3 à 5 salariés
Fonds de solidarité,VOLET1,15212,49793694.00,84,Auvergne-Rhône-Alpes,03,6 à 9 salariés
Fonds de solidarité,VOLET1,5462,24083053.00,84,Auvergne-Rhône-Alpes,11,10 à 19 salariés
Fonds de solidarité,VOLET1,1064,6059057.00,84,Auvergne-Rhône-Alpes,12,20 à 49 salariés
Fonds de solidarité,VOLET1,60,391281.00,84,Auvergne-Rhône-Alpes,21,50 à 99 salariés
Fonds de solidarité,VOLET1,9,30372.00,84,Auvergne-Rhône-Alpes,22,100 à 199 salariés
Fonds de solidarité,VOLET1,6,26323.00,84,Auvergne-Rhône-Alpes,32,250 à 499 salariés
Fonds de solidarité,VOLET1,7,10500.00,84,Auvergne-Rhône-Alpes,42,1 000 à 1 999 salariés
Fonds de solidarité,VOLET1,57155,89993996.00,84,Auvergne-Rhône-Alpes,NN,Etablissement non employeur
Fonds de solidarité,VOLET1,14057,28043936.00,27,Bourgogne-Franche-Comté,00,0 salarié
Fonds de solidarité,VOLET1,37909,86551362.00,27,Bourgogne-Franche-Comté,01,1 ou 2 salariés
Fonds de solidarité,VOLET1,12542,33930659.00,27,Bourgogne-Franche-Comté,02,3 à 5 salariés
Fonds de solidarité,VOLET1,3586,10742089.00,27,Bourgogne-Franche-Comté,03,6 à 9 salariés
Fonds de solidarité,VOLET1,1136,4711223.00,27,Bourgogne-Franche-Comté,11,10 à 19 salariés
Fonds de solidarité,VOLET1,234,1241884.00,27,Bourgogne-Franche-Comté,12,20 à 49 salariés
Fonds de solidarité,VOLET1,13,52134.00,27,Bourgogne-Franche-Comté,21,50 à 99 salariés
Fonds de solidarité,VOLET1,14123,21756527.00,27,Bourgogne-Franche-Comté,NN,Etablissement non employeur
Fonds de solidarité,VOLET1,19840,41614210.00,53,Bretagne,00,0 salarié
Fonds de solidarité,VOLET1,46904,111352266.00,53,Bretagne,01,1 ou 2 salariés
Fonds de solidarité,VOLET1,16189,45885660.00,53,Bretagne,02,3 à 5 salariés
Fonds de solidarité,VOLET1,4766,15114851.00,53,Bretagne,03,6 à 9 salariés
Fonds de solidarité,VOLET1,1494,6055361.00,53,Bretagne,11,10 à 19 salariés
Fonds de solidarité,VOLET1,220,1168225.00,53,Bretagne,12,20 à 49 salariés
Fonds de solidarité,VOLET1,4,30666.00,53,Bretagne,21,50 à 99 salariés
Fonds de solidarité,VOLET1,15865,24359181.00,53,Bretagne,NN,Etablissement non employeur
Fonds de solidarité,VOLET1,11201,22645702.00,24,Centre-Val de Loire,00,0 salarié
Fonds de solidarité,VOLET1,32508,72766901.00,24,Centre-Val de Loire,01,1 ou 2 salariés
