dispositif,volet,nombre_aides,montant_total,reg,libelle_region,classe_effectif,libelle_classe_effectif
Fonds de solidarité,VOLET1,53365,103451579.00,84,Auvergne-Rhône-Alpes,00,0 salarié
Fonds de solidarité,VOLET1,129509,286315063.00,84,Auvergne-Rhône-Alpes,01,1 ou 2 salariés
Fonds de solidarité,VOLET1,46600,124645404.00,84,Auvergne-Rhône-Alpes,02,3 à 5 salariés
Fonds de solidarité,VOLET1,14360,43393722.00,84,Auvergne-Rhône-Alpes,03,6 à 9 salariés
Fonds de solidarité,VOLET1,4970,20370891.00,84,Auvergne-Rhône-Alpes,11,10 à 19 salariés
Fonds de solidarité,VOLET1,889,4737546.00,84,Auvergne-Rhône-Alpes,12,20 à 49 salariés
Fonds de solidarité,VOLET1,42,235684.00,84,Auvergne-Rhône-Alpes,21,50 à 99 salariés
Fonds de solidarité,VOLET1,8,20372.00,84,Auvergne-Rhône-Alpes,22,100 à 199 salariés
Fonds de solidarité,VOLET1,6,26323.00,84,Auvergne-Rhône-Alpes,32,250 à 499 salariés
Fonds de solidarité,VOLET1,7,10500.00,84,Auvergne-Rhône-Alpes,42,1 000 à 1 999 salariés
Fonds de solidarité,VOLET1,54645,83972745.00,84,Auvergne-Rhône-Alpes,NN,Etablissement non employeur
Fonds de solidarité,VOLET1,13620,26306265.00,27,Bourgogne-Franche-Comté,00,0 salarié
Fonds de solidarité,VOLET1,36716,80181819.00,27,Bourgogne-Franche-Comté,01,1 ou 2 salariés
Fonds de solidarité,VOLET1,12068,30791465.00,27,Bourgogne-Franche-Comté,02,3 à 5 salariés
Fonds de solidarité,VOLET1,3374,9238601.00,27,Bourgogne-Franche-Comté,03,6 à 9 salariés
Fonds de solidarité,VOLET1,1042,3939311.00,27,Bourgogne-Franche-Comté,11,10 à 19 salariés
Fonds de solidarité,VOLET1,185,904888.00,27,Bourgogne-Franche-Comté,12,20 à 49 salariés
Fonds de solidarité,VOLET1,13,52134.00,27,Bourgogne-Franche-Comté,21,50 à 99 salariés
Fonds de solidarité,VOLET1,13672,20589280.00,27,Bourgogne-Franche-Comté,NN,Etablissement non employeur
Fonds de solidarité,VOLET1,19240,39049825.00,53,Bretagne,00,0 salarié
Fonds de solidarité,VOLET1,45451,103511258.00,53,Bretagne,01,1 ou 2 salariés
Fonds de solidarité,VOLET1,15576,41966512.00,53,Bretagne,02,3 à 5 salariés
Fonds de solidarité,VOLET1,4533,13474092.00,53,Bretagne,03,6 à 9 salariés
Fonds de solidarité,VOLET1,1350,5005113.00,53,Bretagne,11,10 à 19 salariés
Fonds de solidarité,VOLET1,179,878355.00,53,Bretagne,12,20 à 49 salariés
Fonds de solidarité,VOLET1,15395,23219140.00,53,Bretagne,NN,Etablissement non employeur
Fonds de solidarité,VOLET1,10878,21230003.00,24,Centre-Val de Loire,00,0 salarié
Fonds de solidarité,VOLET1,31563,68178272.00,24,Centre-Val de Loire,01,1 ou 2 salariés
