dispositif,nombre_reports,montant_total,reg,libelle_region,code_section,libelle_section,date_maj
Reports d'échéances fiscales,18.00,209887.00,84,Auvergne-Rhône-Alpes,A,"Agriculture, sylviculture et pêche",2021-06-10
Reports d'échéances fiscales,1114.00,81709101.00,84,Auvergne-Rhône-Alpes,C,Industrie manufacturière,2021-06-10
Reports d'échéances fiscales,10.00,1256562.00,84,Auvergne-Rhône-Alpes,D,"Production et distribution d'électricité, de gaz, de vapeur et d'air conditionné",2021-06-10
Reports d'échéances fiscales,38.00,2996535.00,84,Auvergne-Rhône-Alpes,E,"Production et distribution d'eau ; assainissement, gestion des déchets et dépollution",2021-06-10
Reports d'échéances fiscales,1049.00,26080665.00,84,Auvergne-Rhône-Alpes,F,Construction,2021-06-10
Reports d'échéances fiscales,2550.00,100341096.00,84,Auvergne-Rhône-Alpes,G,Commerce,2021-06-10
Reports d'échéances fiscales,299.00,12609485.00,84,Auvergne-Rhône-Alpes,H,Transports et entreposage,2021-06-10
Reports d'échéances fiscales,1894.00,21200137.00,84,Auvergne-Rhône-Alpes,I,Hébergement et restauration,2021-06-10
Reports d'échéances fiscales,283.00,14527716.00,84,Auvergne-Rhône-Alpes,J,Information et communication,2021-06-10
Reports d'échéances fiscales,473.00,20215000.00,84,Auvergne-Rhône-Alpes,K,Activités financières et d'assurance,2021-06-10
Reports d'échéances fiscales,844.00,14061161.00,84,Auvergne-Rhône-Alpes,L,Activités immobilières,2021-06-10
Reports d'échéances fiscales,1159.00,56441953.00,84,Auvergne-Rhône-Alpes,M,"Activités spécialisées, scientifiques et techniques",2021-06-10
Reports d'échéances fiscales,463.00,16010957.00,84,Auvergne-Rhône-Alpes,N,Activités de services administratifs et de soutien,2021-06-10
Reports d'échéances fiscales,177.00,2245167.00,84,Auvergne-Rhône-Alpes,P,Enseignement,2021-06-10
Reports d'échéances fiscales,352.00,10860180.00,84,Auvergne-Rhône-Alpes,Q,Santé humaine et action sociale,2021-06-10
Reports d'échéances fiscales,269.00,16892954.00,84,Auvergne-Rhône-Alpes,R,"Arts, spectacles et activités récréatives",2021-06-10
Reports d'échéances fiscales,361.00,3402416.00,84,Auvergne-Rhône-Alpes,S,Autres activités de services,2021-06-10
Reports d'échéances fiscales,58.00,732153.00,84,Auvergne-Rhône-Alpes,Z,Non connu,2021-06-10
Reports d'échéances fiscales,32.00,611210.00,27,Bourgogne-Franche-Comté,A,"Agriculture, sylviculture et pêche",2021-06-10
Reports d'échéances fiscales,366.00,33965168.00,27,Bourgogne-Franche-Comté,C,Industrie manufacturière,2021-06-10
Reports d'échéances fiscales,7.00,122085.00,27,Bourgogne-Franche-Comté,E,"Production et distribution d'eau ; assainissement, gestion des déchets et dépollution",2021-06-10
