dispositif,mois,nombre_demandes_deposees,nombre_salaries_concernes,nombre_heures_demandees,reg,libelle_region,code_section_nace17,libelle_section_nace17,date_maj
Activite Partielle,2020-03,625.00,1845.00,83080.00,84,Auvergne-Rhône-Alpes,AZ,"Agriculture, sylviculture et pêche",2020-11-24
Activite Partielle,2020-03,2490.00,12035.00,483405.00,84,Auvergne-Rhône-Alpes,C1,Fabr. de denrées alimentaires - boissons et prod. à base de tabac de boissons et de produits à base de tabac,2020-11-24
Activite Partielle,2020-03,1030.00,23305.00,923925.00,84,Auvergne-Rhône-Alpes,C3,Fabr. d'équipements ; fabrication de machines,2020-11-24
Activite Partielle,2020-03,250.00,15010.00,625170.00,84,Auvergne-Rhône-Alpes,C4,Fabrication de matériels de transport,2020-11-24
Activite Partielle,2020-03,7220.00,88490.00,3858555.00,84,Auvergne-Rhône-Alpes,C5,Fabrication d'autres produits indus.,2020-11-24
Activite Partielle,2020-03,795.00,6015.00,259485.00,84,Auvergne-Rhône-Alpes,DE,Industries extractives,2020-11-24
Activite Partielle,2020-03,18825.00,108640.00,5348205.00,84,Auvergne-Rhône-Alpes,FZ,Construction,2020-11-24
Activite Partielle,2020-03,30350.00,153050.00,7715540.00,84,Auvergne-Rhône-Alpes,GZ,Commerce,2020-11-24
Activite Partielle,2020-03,3920.00,50075.00,2155275.00,84,Auvergne-Rhône-Alpes,HZ,Transports et entreposage,2020-11-24
Activite Partielle,2020-03,18375.00,105645.00,5711695.00,84,Auvergne-Rhône-Alpes,IZ,Hébergement et restauration,2020-11-24
Activite Partielle,2020-03,1830.00,10975.00,455380.00,84,Auvergne-Rhône-Alpes,JZ,Information et communication,2020-11-24
Activite Partielle,2020-03,2915.00,9285.00,419435.00,84,Auvergne-Rhône-Alpes,KZ,Act. financières et d'assurance,2020-11-24
Activite Partielle,2020-03,2520.00,9020.00,440100.00,84,Auvergne-Rhône-Alpes,LZ,Activités immobilières,2020-11-24
Activite Partielle,2020-03,16780.00,132140.00,5149625.00,84,Auvergne-Rhône-Alpes,MN,Act. scientif. et tech. ; services admin. et de soutien,2020-11-24
Activite Partielle,2020-03,9330.00,56600.00,2122500.00,84,Auvergne-Rhône-Alpes,OQ,"Admin. publique - enseignement, santé humaine et action sociale",2020-11-24
Activite Partielle,2020-03,13110.00,53890.00,2435440.00,84,Auvergne-Rhône-Alpes,RU,Autres activités de services,2020-11-24
Activite Partielle,2020-04,780.00,2255.00,177770.00,84,Auvergne-Rhône-Alpes,AZ,"Agriculture, sylviculture et pêche",2020-11-24
