dispositif,nombre_demandes_deposees,nombre_salaries_concernes,nombre_heures_demandees,nombre_etablissements_concernes,reg,libelle_region,code_section_nace17,libelle_section_nace17,date_maj
Activite Partielle,1070.00,4935.00,2006935.00,1015.00,84,Auvergne-Rhône-Alpes,AZ,"Agriculture, sylviculture et pêche",2020-06-02
Activite Partielle,3940.00,33585.00,12854885.00,3730.00,84,Auvergne-Rhône-Alpes,C1,Fabr. de denrées alimentaires - boissons et prod. à base de tabac de boissons et de produits à base de tabac,2020-06-02
Activite Partielle,1535.00,65080.00,25250380.00,1385.00,84,Auvergne-Rhône-Alpes,C3,Fabr. d'équipements ; fabrication de machines,2020-06-02
Activite Partielle,345.00,28440.00,13646695.00,310.00,84,Auvergne-Rhône-Alpes,C4,Fabrication de matériels de transport,2020-06-02
Activite Partielle,10175.00,198195.00,87563150.00,9325.00,84,Auvergne-Rhône-Alpes,C5,Fabrication d'autres produits indus.,2020-06-02
Activite Partielle,1200.00,17445.00,6691960.00,1155.00,84,Auvergne-Rhône-Alpes,DE,Industries extractives,2020-06-02
Activite Partielle,23170.00,179845.00,85243415.00,21610.00,84,Auvergne-Rhône-Alpes,FZ,Construction,2020-06-02
Activite Partielle,38345.00,259985.00,117444175.00,36180.00,84,Auvergne-Rhône-Alpes,GZ,Commerce,2020-06-02
Activite Partielle,5335.00,117055.00,46946455.00,4980.00,84,Auvergne-Rhône-Alpes,HZ,Transports et entreposage,2020-06-02
Activite Partielle,21195.00,138430.00,59944970.00,19740.00,84,Auvergne-Rhône-Alpes,IZ,Hébergement et restauration,2020-06-02
Activite Partielle,3070.00,38445.00,14897700.00,2825.00,84,Auvergne-Rhône-Alpes,JZ,Information et communication,2020-06-02
Activite Partielle,5160.00,23905.00,9567305.00,4870.00,84,Auvergne-Rhône-Alpes,KZ,Act. financières et d'assurance,2020-06-02
Activite Partielle,3360.00,16795.00,6469450.00,3180.00,84,Auvergne-Rhône-Alpes,LZ,Activités immobilières,2020-06-02
Activite Partielle,24740.00,309885.00,107589875.00,22860.00,84,Auvergne-Rhône-Alpes,MN,Act. scientif. et tech. ; services admin. et de soutien,2020-06-02
Activite Partielle,13380.00,123145.00,36617345.00,12405.00,84,Auvergne-Rhône-Alpes,OQ,"Admin. publique - enseignement, santé humaine et action sociale",2020-06-02
Activite Partielle,17940.00,90440.00,28833525.00,16035.00,84,Auvergne-Rhône-Alpes,RU,Autres activités de services,2020-06-02
Activite Partielle,680.00,2715.00,964400.00,615.00,27,Bourgogne-Franche-Comté,AZ,"Agriculture, sylviculture et pêche",2020-06-02
Activite Partielle,1370.00,11150.00,4500460.00,1295.00,27,Bourgogne-Franche-Comté,C1,Fabr. de denrées alimentaires - boissons et prod. à base de tabac de boissons et de produits à base de tabac,2020-06-02
Activite Partielle,430.00,19905.00,7893050.00,385.00,27,Bourgogne-Franche-Comté,C3,Fabr. d'équipements ; fabrication de machines,2020-06-02
Activite Partielle,140.00,35235.00,11592950.00,115.00,27,Bourgogne-Franche-Comté,C4,Fabrication de matériels de transport,2020-06-02
Activite Partielle,3205.00,75845.00,34661880.00,2900.00,27,Bourgogne-Franche-Comté,C5,Fabrication d'autres produits indus.,2020-06-02
Activite Partielle,435.00,5735.00,1973870.00,430.00,27,Bourgogne-Franche-Comté,DE,Industries extractives,2020-06-02
Activite Partielle,6535.00,47705.00,21420435.00,6040.00,27,Bourgogne-Franche-Comté,FZ,Construction,2020-06-02
Activite Partielle,12075.00,75900.00,34432725.00,11395.00,27,Bourgogne-Franche-Comté,GZ,Commerce,2020-06-02
