dispositif,volet,nombre_aides,montant_total,reg,libelle_region,classe_effectif,libelle_classe_effectif
Fonds de solidarité,VOLET1,33904,49175127.00,84,Auvergne-Rhône-Alpes,00,0 salarié
Fonds de solidarité,VOLET1,83038,121991959.00,84,Auvergne-Rhône-Alpes,01,1 ou 2 salariés
Fonds de solidarité,VOLET1,28414,42143697.00,84,Auvergne-Rhône-Alpes,02,3 à 5 salariés
Fonds de solidarité,VOLET1,7743,11521714.00,84,Auvergne-Rhône-Alpes,03,6 à 9 salariés
Fonds de solidarité,VOLET1,1587,2365128.00,84,Auvergne-Rhône-Alpes,11,10 à 19 salariés
Fonds de solidarité,VOLET1,112,163093.00,84,Auvergne-Rhône-Alpes,12,20 à 49 salariés
Fonds de solidarité,VOLET1,9,13500.00,84,Auvergne-Rhône-Alpes,21,50 à 99 salariés
Fonds de solidarité,VOLET1,5,7500.00,84,Auvergne-Rhône-Alpes,42,1 000 à 1 999 salariés
Fonds de solidarité,VOLET1,36925,50396966.00,84,Auvergne-Rhône-Alpes,NN,Etablissement non employeur
Fonds de solidarité,VOLET1,8743,12672550.00,27,Bourgogne-Franche-Comté,00,0 salarié
Fonds de solidarité,VOLET1,23957,35204496.00,27,Bourgogne-Franche-Comté,01,1 ou 2 salariés
Fonds de solidarité,VOLET1,7606,11308298.00,27,Bourgogne-Franche-Comté,02,3 à 5 salariés
Fonds de solidarité,VOLET1,1906,2835211.00,27,Bourgogne-Franche-Comté,03,6 à 9 salariés
Fonds de solidarité,VOLET1,337,495964.00,27,Bourgogne-Franche-Comté,11,10 à 19 salariés
Fonds de solidarité,VOLET1,24,36000.00,27,Bourgogne-Franche-Comté,12,20 à 49 salariés
Fonds de solidarité,VOLET1,5,7500.00,27,Bourgogne-Franche-Comté,21,50 à 99 salariés
Fonds de solidarité,VOLET1,9205,12264409.00,27,Bourgogne-Franche-Comté,NN,Etablissement non employeur
Fonds de solidarité,VOLET1,12253,17724167.00,53,Bretagne,00,0 salarié
Fonds de solidarité,VOLET1,29306,43097864.00,53,Bretagne,01,1 ou 2 salariés
Fonds de solidarité,VOLET1,9494,14128387.00,53,Bretagne,02,3 à 5 salariés
Fonds de solidarité,VOLET1,2369,3529219.00,53,Bretagne,03,6 à 9 salariés
Fonds de solidarité,VOLET1,386,576342.00,53,Bretagne,11,10 à 19 salariés
Fonds de solidarité,VOLET1,26,38453.00,53,Bretagne,12,20 à 49 salariés
Fonds de solidarité,VOLET1,10599,14279971.00,53,Bretagne,NN,Etablissement non employeur
Fonds de solidarité,VOLET1,6966,10109693.00,24,Centre-Val de Loire,00,0 salarié
Fonds de solidarité,VOLET1,20744,30500419.00,24,Centre-Val de Loire,01,1 ou 2 salariés
Fonds de solidarité,VOLET1,7206,10729039.00,24,Centre-Val de Loire,02,3 à 5 salariés
Fonds de solidarité,VOLET1,1762,2636482.00,24,Centre-Val de Loire,03,6 à 9 salariés
Fonds de solidarité,VOLET1,270,402415.00,24,Centre-Val de Loire,11,10 à 19 salariés
Fonds de solidarité,VOLET1,24,35893.00,24,Centre-Val de Loire,12,20 à 49 salariés
Fonds de solidarité,VOLET1,7497,9970944.00,24,Centre-Val de Loire,NN,Etablissement non employeur
Fonds de solidarité,VOLET1,2699,3897059.00,94,Corse,00,0 salarié
Fonds de solidarité,VOLET1,6809,9957833.00,94,Corse,01,1 ou 2 salariés
Fonds de solidarité,VOLET1,2760,4086732.00,94,Corse,02,3 à 5 salariés
Fonds de solidarité,VOLET1,730,1087763.00,94,Corse,03,6 à 9 salariés
Fonds de solidarité,VOLET1,130,194304.00,94,Corse,11,10 à 19 salariés
Fonds de solidarité,VOLET1,4,6000.00,94,Corse,12,20 à 49 salariés
Fonds de solidarité,VOLET1,2020,2726045.00,94,Corse,NN,Etablissement non employeur
Fonds de solidarité,VOLET1,15551,22539995.00,44,Grand Est,00,0 salarié
Fonds de solidarité,VOLET1,46822,68741146.00,44,Grand Est,01,1 ou 2 salariés
Fonds de solidarité,VOLET1,17499,26005445.00,44,Grand Est,02,3 à 5 salariés
Fonds de solidarité,VOLET1,5011,7469155.00,44,Grand Est,03,6 à 9 salariés
Fonds de solidarité,VOLET1,923,1379950.00,44,Grand Est,11,10 à 19 salariés
Fonds de solidarité,VOLET1,49,72691.00,44,Grand Est,12,20 à 49 salariés
Fonds de solidarité,VOLET1,9,13500.00,44,Grand Est,21,50 à 99 salariés
Fonds de solidarité,VOLET1,3,4500.00,44,Grand Est,22,100 à 199 salariés
Fonds de solidarité,VOLET1,14954,20042130.00,44,Grand Est,NN,Etablissement non employeur
Fonds de solidarité,VOLET1,1599,2319448.00,01,Guadeloupe,00,0 salarié
Fonds de solidarité,VOLET1,5654,8326804.00,01,Guadeloupe,01,1 ou 2 salariés
Fonds de solidarité,VOLET1,1993,2977957.00,01,Guadeloupe,02,3 à 5 salariés
Fonds de solidarité,VOLET1,644,962026.00,01,Guadeloupe,03,6 à 9 salariés
Fonds de solidarité,VOLET1,139,206111.00,01,Guadeloupe,11,10 à 19 salariés
Fonds de solidarité,VOLET1,13,19500.00,01,Guadeloupe,12,20 à 49 salariés
Fonds de solidarité,VOLET1,4731,6555057.00,01,Guadeloupe,NN,Etablissement non employeur
Fonds de solidarité,VOLET1,609,891985.00,03,Guyane,00,0 salarié
Fonds de solidarité,VOLET1,1559,2309923.00,03,Guyane,01,1 ou 2 salariés
Fonds de solidarité,VOLET1,607,906419.00,03,Guyane,02,3 à 5 salariés
Fonds de solidarité,VOLET1,201,301258.00,03,Guyane,03,6 à 9 salariés
Fonds de solidarité,VOLET1,37,55500.00,03,Guyane,11,10 à 19 salariés
Fonds de solidarité,VOLET1,4,6000.00,03,Guyane,12,20 à 49 salariés
Fonds de solidarité,VOLET1,884,1250750.00,03,Guyane,NN,Etablissement non employeur
Fonds de solidarité,VOLET1,13915,20129217.00,32,Hauts-de-France,00,0 salarié
Fonds de solidarité,VOLET1,41343,60605710.00,32,Hauts-de-France,01,1 ou 2 salariés
Fonds de solidarité,VOLET1,14537,21631516.00,32,Hauts-de-France,02,3 à 5 salariés
Fonds de solidarité,VOLET1,4124,6148083.00,32,Hauts-de-France,03,6 à 9 salariés
Fonds de solidarité,VOLET1,758,1130520.00,32,Hauts-de-France,11,10 à 19 salariés
Fonds de solidarité,VOLET1,64,94689.00,32,Hauts-de-France,12,20 à 49 salariés
Fonds de solidarité,VOLET1,8,10787.00,32,Hauts-de-France,21,50 à 99 salariés
Fonds de solidarité,VOLET1,13854,18365019.00,32,Hauts-de-France,NN,Etablissement non employeur
