dispositif,volet,nombre_aides,montant_total,reg,libelle_region,classe_effectif,libelle_classe_effectif
Fonds de solidarité,VOLET1,56353,115169332.00,84,Auvergne-Rhône-Alpes,00,0 salarié
Fonds de solidarité,VOLET1,136665,321483795.00,84,Auvergne-Rhône-Alpes,01,1 ou 2 salariés
Fonds de solidarité,VOLET1,49627,144421780.00,84,Auvergne-Rhône-Alpes,02,3 à 5 salariés
Fonds de solidarité,VOLET1,15719,53279480.00,84,Auvergne-Rhône-Alpes,03,6 à 9 salariés
Fonds de solidarité,VOLET1,5793,26423879.00,84,Auvergne-Rhône-Alpes,11,10 à 19 salariés
Fonds de solidarité,VOLET1,1159,6748100.00,84,Auvergne-Rhône-Alpes,12,20 à 49 salariés
Fonds de solidarité,VOLET1,72,491481.00,84,Auvergne-Rhône-Alpes,21,50 à 99 salariés
Fonds de solidarité,VOLET1,12,60372.00,84,Auvergne-Rhône-Alpes,22,100 à 199 salariés
Fonds de solidarité,VOLET1,6,26323.00,84,Auvergne-Rhône-Alpes,32,250 à 499 salariés
Fonds de solidarité,VOLET1,7,10500.00,84,Auvergne-Rhône-Alpes,42,1 000 à 1 999 salariés
Fonds de solidarité,VOLET1,58679,93468373.00,84,Auvergne-Rhône-Alpes,NN,Etablissement non employeur
Fonds de solidarité,VOLET1,14298,28882200.00,27,Bourgogne-Franche-Comté,00,0 salarié
Fonds de solidarité,VOLET1,38452,88882866.00,27,Bourgogne-Franche-Comté,01,1 ou 2 salariés
Fonds de solidarité,VOLET1,12773,35414928.00,27,Bourgogne-Franche-Comté,02,3 à 5 salariés
Fonds de solidarité,VOLET1,3681,11326601.00,27,Bourgogne-Franche-Comté,03,6 à 9 salariés
Fonds de solidarité,VOLET1,1204,5198082.00,27,Bourgogne-Franche-Comté,11,10 à 19 salariés
Fonds de solidarité,VOLET1,269,1454775.00,27,Bourgogne-Franche-Comté,12,20 à 49 salariés
Fonds de solidarité,VOLET1,15,72134.00,27,Bourgogne-Franche-Comté,21,50 à 99 salariés
Fonds de solidarité,VOLET1,14354,22262188.00,27,Bourgogne-Franche-Comté,NN,Etablissement non employeur
Fonds de solidarité,VOLET1,20087,42566121.00,53,Bretagne,00,0 salarié
Fonds de solidarité,VOLET1,47582,114554592.00,53,Bretagne,01,1 ou 2 salariés
Fonds de solidarité,VOLET1,16475,47563271.00,53,Bretagne,02,3 à 5 salariés
Fonds de solidarité,VOLET1,4878,15791129.00,53,Bretagne,03,6 à 9 salariés
Fonds de solidarité,VOLET1,1574,6598224.00,53,Bretagne,11,10 à 19 salariés
Fonds de solidarité,VOLET1,250,1371338.00,53,Bretagne,12,20 à 49 salariés
Fonds de solidarité,VOLET1,4,30666.00,53,Bretagne,21,50 à 99 salariés
Fonds de solidarité,VOLET1,16070,24785102.00,53,Bretagne,NN,Etablissement non employeur
Fonds de solidarité,VOLET1,11365,23274259.00,24,Centre-Val de Loire,00,0 salarié
Fonds de solidarité,VOLET1,32899,74473962.00,24,Centre-Val de Loire,01,1 ou 2 salariés
Fonds de solidarité,VOLET1,11873,32205544.00,24,Centre-Val de Loire,02,3 à 5 salariés
Fonds de solidarité,VOLET1,3271,9857112.00,24,Centre-Val de Loire,03,6 à 9 salariés
Fonds de solidarité,VOLET1,1025,4346045.00,24,Centre-Val de Loire,11,10 à 19 salariés
Fonds de solidarité,VOLET1,207,963490.00,24,Centre-Val de Loire,12,20 à 49 salariés
Fonds de solidarité,VOLET1,8,36015.00,24,Centre-Val de Loire,21,50 à 99 salariés
Fonds de solidarité,VOLET1,11622,18057235.00,24,Centre-Val de Loire,NN,Etablissement non employeur
Fonds de solidarité,VOLET1,5034,11144416.00,94,Corse,00,0 salarié
Fonds de solidarité,VOLET1,11811,27527295.00,94,Corse,01,1 ou 2 salariés
Fonds de solidarité,VOLET1,4881,13923245.00,94,Corse,02,3 à 5 salariés
Fonds de solidarité,VOLET1,1355,4427400.00,94,Corse,03,6 à 9 salariés
Fonds de solidarité,VOLET1,434,2077684.00,94,Corse,11,10 à 19 salariés
Fonds de solidarité,VOLET1,55,359772.00,94,Corse,12,20 à 49 salariés
Fonds de solidarité,VOLET1,5,25664.00,94,Corse,21,50 à 99 salariés
Fonds de solidarité,VOLET1,3580,5518836.00,94,Corse,NN,Etablissement non employeur
Fonds de solidarité,VOLET1,25766,53356992.00,44,Grand Est,00,0 salarié
Fonds de solidarité,VOLET1,76438,180631620.00,44,Grand Est,01,1 ou 2 salariés
Fonds de solidarité,VOLET1,29405,82216053.00,44,Grand Est,02,3 à 5 salariés
Fonds de solidarité,VOLET1,9575,29264517.00,44,Grand Est,03,6 à 9 salariés
Fonds de solidarité,VOLET1,3304,13329859.00,44,Grand Est,11,10 à 19 salariés
Fonds de solidarité,VOLET1,579,3259376.00,44,Grand Est,12,20 à 49 salariés
Fonds de solidarité,VOLET1,29,141461.00,44,Grand Est,21,50 à 99 salariés
Fonds de solidarité,VOLET1,3,4500.00,44,Grand Est,22,100 à 199 salariés
Fonds de solidarité,VOLET1,26509,48807837.00,44,Grand Est,NN,Etablissement non employeur
Fonds de solidarité,VOLET1,2709,4390992.00,01,Guadeloupe,00,0 salarié
Fonds de solidarité,VOLET1,9042,15004234.00,01,Guadeloupe,01,1 ou 2 salariés
Fonds de solidarité,VOLET1,3032,5346977.00,01,Guadeloupe,02,3 à 5 salariés
Fonds de solidarité,VOLET1,995,1951844.00,01,Guadeloupe,03,6 à 9 salariés
Fonds de solidarité,VOLET1,300,667437.00,01,Guadeloupe,11,10 à 19 salariés
Fonds de solidarité,VOLET1,44,161660.00,01,Guadeloupe,12,20 à 49 salariés
Fonds de solidarité,VOLET1,6,26000.00,01,Guadeloupe,21,50 à 99 salariés
Fonds de solidarité,VOLET1,9259,13776525.00,01,Guadeloupe,NN,Etablissement non employeur
Fonds de solidarité,VOLET1,1826,3990094.00,03,Guyane,00,0 salarié
