dispositif,volet,nombre_aides,nombre_entreprises,montant_total,reg,libelle_region,classe_effectif,libelle_classe_effectif
Fonds de solidarité,VOLET1,61163,18242,136438706.00,84,Auvergne-Rhône-Alpes,00,0 salarié
Fonds de solidarité,VOLET1,148720,45628,396463304.00,84,Auvergne-Rhône-Alpes,01,1 ou 2 salariés
Fonds de solidarité,VOLET1,55362,17724,193247692.00,84,Auvergne-Rhône-Alpes,02,3 à 5 salariés
Fonds de solidarité,VOLET1,18286,6047,81327843.00,84,Auvergne-Rhône-Alpes,03,6 à 9 salariés
Fonds de solidarité,VOLET1,7276,2765,50864464.00,84,Auvergne-Rhône-Alpes,11,10 à 19 salariés
Fonds de solidarité,VOLET1,1714,813,23468269.00,84,Auvergne-Rhône-Alpes,12,20 à 49 salariés
Fonds de solidarité,VOLET1,129,73,4117844.00,84,Auvergne-Rhône-Alpes,21,50 à 99 salariés
Fonds de solidarité,VOLET1,24,17,1429389.00,84,Auvergne-Rhône-Alpes,22,100 à 199 salariés
Fonds de solidarité,VOLET1,4,3,221500.00,84,Auvergne-Rhône-Alpes,31,200 à 249 salariés
Fonds de solidarité,VOLET1,7,3,10500.00,84,Auvergne-Rhône-Alpes,42,1 000 à 1 999 salariés
Fonds de solidarité,VOLET1,64786,19819,108275361.00,84,Auvergne-Rhône-Alpes,NN,Etablissement non employeur
Fonds de solidarité,VOLET1,15494,4650,34592168.00,27,Bourgogne-Franche-Comté,00,0 salarié
Fonds de solidarité,VOLET1,41744,13040,109688606.00,27,Bourgogne-Franche-Comté,01,1 ou 2 salariés
Fonds de solidarité,VOLET1,14244,4668,47540895.00,27,Bourgogne-Franche-Comté,02,3 à 5 salariés
Fonds de solidarité,VOLET1,4241,1471,17232581.00,27,Bourgogne-Franche-Comté,03,6 à 9 salariés
Fonds de solidarité,VOLET1,1547,623,10417651.00,27,Bourgogne-Franche-Comté,11,10 à 19 salariés
Fonds de solidarité,VOLET1,425,222,5690664.00,27,Bourgogne-Franche-Comté,12,20 à 49 salariés
Fonds de solidarité,VOLET1,21,10,314190.00,27,Bourgogne-Franche-Comté,21,50 à 99 salariés
Fonds de solidarité,VOLET1,15418,4863,25079420.00,27,Bourgogne-Franche-Comté,NN,Etablissement non employeur
Fonds de solidarité,VOLET1,21703,6344,52130258.00,53,Bretagne,00,0 salarié
Fonds de solidarité,VOLET1,51579,15976,143181568.00,53,Bretagne,01,1 ou 2 salariés
Fonds de solidarité,VOLET1,18303,6179,63774609.00,53,Bretagne,02,3 à 5 salariés
Fonds de solidarité,VOLET1,5607,2024,24045443.00,53,Bretagne,03,6 à 9 salariés
Fonds de solidarité,VOLET1,1997,828,13839872.00,53,Bretagne,11,10 à 19 salariés
Fonds de solidarité,VOLET1,395,211,5874360.00,53,Bretagne,12,20 à 49 salariés
Fonds de solidarité,VOLET1,10,8,312901.00,53,Bretagne,21,50 à 99 salariés
Fonds de solidarité,VOLET1,17068,5461,27639867.00,53,Bretagne,NN,Etablissement non employeur
Fonds de solidarité,VOLET1,12211,3671,27315522.00,24,Centre-Val de Loire,00,0 salarié
Fonds de solidarité,VOLET1,35445,11275,90273032.00,24,Centre-Val de Loire,01,1 ou 2 salariés
Fonds de solidarité,VOLET1,13071,4415,42415997.00,24,Centre-Val de Loire,02,3 à 5 salariés
Fonds de solidarité,VOLET1,3671,1301,14424755.00,24,Centre-Val de Loire,03,6 à 9 salariés
Fonds de solidarité,VOLET1,1295,524,9192014.00,24,Centre-Val de Loire,11,10 à 19 salariés
Fonds de solidarité,VOLET1,280,137,2985219.00,24,Centre-Val de Loire,12,20 à 49 salariés
Fonds de solidarité,VOLET1,15,9,499399.00,24,Centre-Val de Loire,21,50 à 99 salariés
Fonds de solidarité,VOLET1,12366,3869,19875208.00,24,Centre-Val de Loire,NN,Etablissement non employeur
Fonds de solidarité,VOLET1,5637,1460,14629806.00,94,Corse,00,0 salarié
Fonds de solidarité,VOLET1,12974,3650,34629786.00,94,Corse,01,1 ou 2 salariés
Fonds de solidarité,VOLET1,5563,1672,19595733.00,94,Corse,02,3 à 5 salariés
Fonds de solidarité,VOLET1,1590,551,7044220.00,94,Corse,03,6 à 9 salariés
Fonds de solidarité,VOLET1,571,234,4146886.00,94,Corse,11,10 à 19 salariés
Fonds de solidarité,VOLET1,100,57,1274149.00,94,Corse,12,20 à 49 salariés
Fonds de solidarité,VOLET1,8,5,278318.00,94,Corse,21,50 à 99 salariés
Fonds de solidarité,VOLET1,3882,1189,6153336.00,94,Corse,NN,Etablissement non employeur
Fonds de solidarité,VOLET1,27917,8882,62941759.00,44,Grand Est,00,0 salarié
Fonds de solidarité,VOLET1,82802,27099,218604185.00,44,Grand Est,01,1 ou 2 salariés
Fonds de solidarité,VOLET1,32463,10887,108007515.00,44,Grand Est,02,3 à 5 salariés
Fonds de solidarité,VOLET1,10922,3770,44800938.00,44,Grand Est,03,6 à 9 salariés
Fonds de solidarité,VOLET1,4140,1561,29715484.00,44,Grand Est,11,10 à 19 salariés
Fonds de solidarité,VOLET1,861,428,12784146.00,44,Grand Est,12,20 à 49 salariés
Fonds de solidarité,VOLET1,46,30,1761272.00,44,Grand Est,21,50 à 99 salariés
Fonds de solidarité,VOLET1,29308,10329,56976842.00,44,Grand Est,NN,Etablissement non employeur
Fonds de solidarité,VOLET1,2815,771,4763250.00,01,Guadeloupe,00,0 salarié
Fonds de solidarité,VOLET1,9306,2730,16069405.00,01,Guadeloupe,01,1 ou 2 salariés
Fonds de solidarité,VOLET1,3113,990,5878242.00,01,Guadeloupe,02,3 à 5 salariés
Fonds de solidarité,VOLET1,1036,353,2329733.00,01,Guadeloupe,03,6 à 9 salariés
Fonds de solidarité,VOLET1,314,100,718499.00,01,Guadeloupe,11,10 à 19 salariés
Fonds de solidarité,VOLET1,54,18,468549.00,01,Guadeloupe,12,20 à 49 salariés
Fonds de solidarité,VOLET1,8,3,27732.00,01,Guadeloupe,21,50 à 99 salariés
Fonds de solidarité,VOLET1,9836,2565,15095856.00,01,Guadeloupe,NN,Etablissement non employeur
Fonds de solidarité,VOLET1,1876,368,4179956.00,03,Guyane,00,0 salarié
Fonds de solidarité,VOLET1,4447,941,9754621.00,03,Guyane,01,1 ou 2 salariés
Fonds de solidarité,VOLET1,1784,399,4214130.00,03,Guyane,02,3 à 5 salariés
Fonds de solidarité,VOLET1,585,139,1356250.00,03,Guyane,03,6 à 9 salariés
Fonds de solidarité,VOLET1,218,56,526021.00,03,Guyane,11,10 à 19 salariés
Fonds de solidarité,VOLET1,47,10,147500.00,03,Guyane,12,20 à 49 salariés
Fonds de solidarité,VOLET1,2905,548,5780192.00,03,Guyane,NN,Etablissement non employeur
